ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,129,8426,14252,408,0,0,0,0,0,0,0,0,0,0,0
1,129,8542,14406,280,0,0,0,0,0,0,0,0,0,0,0
2,129,8458,14276,224,0,0,0,0,0,0,0,0,0,0,0
3,129,8484,14338,338,0,0,0,0,0,0,0,0,0,0,0
4,129,8486,14460,262,0,0,0,0,0,0,0,0,0,0,0
5,129,8450,14302,268,0,0,0,0,0,0,0,0,0,0,0
6,129,8412,14354,282,0,0,0,0,0,0,0,0,0,0,0
7,129,8480,14420,326,0,0,0,0,0,0,0,0,0,0,0
8,129,8474,14258,306,0,0,0,0,0,0,0,0,0,0,0
9,129,8536,14328,334,0,0,0,0,0,0,0,0,0,0,0
10,129,8462,14382,332,0,0,0,0,0,0,0,0,0,0,0
11,129,8412,14258,322,0,0,0,0,0,0,0,0,0,0,0
12,129,8446,14336,302,0,0,0,0,0,0,0,0,0,0,0
13,129,8414,14242,294,0,0,0,0,0,0,0,0,0,0,0
14,129,8426,14218,402,0,0,0,0,0,0,0,0,0,0,0
15,129,8472,14358,362,0,0,0,0,0,0,0,0,0,0,0
16,129,8402,14314,304,0,0,0,0,0,0,0,0,0,0,0
17,129,8478,14410,342,0,0,0,0,0,0,0,0,0,0,0
18,129,8512,14444,378,0,0,0,0,0,0,0,0,0,0,0
19,129,8482,14306,360,0,0,0,0,0,0,0,0,0,0,0
20,129,8498,14366,292,0,0,0,0,0,0,0,0,0,0,0
21,129,8468,14338,258,0,0,0,0,0,0,0,0,0,0,0
22,129,8488,14374,318,0,0,0,0,0,0,0,0,0,0,0
23,129,8410,14376,384,0,0,0,0,0,0,0,0,0,0,0
24,129,8506,14346,284,0,0,0,0,0,0,0,0,0,0,0
25,129,8424,14288,202,0,0,0,0,0,0,0,0,0,0,0
26,129,8418,14382,268,0,0,0,0,0,0,0,0,0,0,0
27,129,8524,14336,308,0,0,0,0,0,0,0,0,0,0,0
28,129,8498,14372,162,0,0,0,0,0,0,0,0,0,0,0
29,129,8480,14406,414,0,0,0,0,0,0,0,0,0,0,0
30,129,8474,14244,244,0,0,0,0,0,0,0,0,0,0,0
31,129,8458,14380,356,0,0,0,0,0,0,0,0,0,0,0
32,129,8540,14386,354,0,0,0,0,0,0,0,0,0,0,0
33,129,8524,14326,328,0,0,0,0,0,0,0,0,0,0,0
34,129,8494,14316,388,0,0,0,0,0,0,0,0,0,0,0
35,129,8528,14408,248,0,0,0,0,0,0,0,0,0,0,0
