ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
1,129,-418,5452,15398,0,0,0,0,0,0,0,0,0,0,0
2,129,-424,5544,15296,0,0,0,0,0,0,0,0,0,0,0
3,129,-452,5440,15414,0,0,0,0,0,0,0,0,0,0,0
4,129,-380,5320,15316,0,0,0,0,0,0,0,0,0,0,0
5,129,-352,5454,15384,0,0,0,0,0,0,0,0,0,0,0
6,129,-422,5408,15212,0,0,0,0,0,0,0,0,0,0,0
7,129,-452,5390,15426,0,0,0,0,0,0,0,0,0,0,0
8,129,-412,5358,15276,0,0,0,0,0,0,0,0,0,0,0
9,129,-404,5466,15484,0,0,0,0,0,0,0,0,0,0,0
10,129,-500,5390,15314,0,0,0,0,0,0,0,0,0,0,0
11,129,-488,5490,15354,0,0,0,0,0,0,0,0,0,0,0
12,129,-414,5486,15376,0,0,0,0,0,0,0,0,0,0,0
13,129,-452,5454,15414,0,0,0,0,0,0,0,0,0,0,0
14,129,-420,5518,15348,0,0,0,0,0,0,0,0,0,0,0
15,129,-480,5458,15384,0,0,0,0,0,0,0,0,0,0,0
16,129,-448,5420,15186,0,0,0,0,0,0,0,0,0,0,0
17,129,-460,5462,15352,0,0,0,0,0,0,0,0,0,0,0
18,129,-404,5406,15200,0,0,0,0,0,0,0,0,0,0,0
19,129,-506,5550,15290,0,0,0,0,0,0,0,0,0,0,0
20,129,-372,5454,15306,0,0,0,0,0,0,0,0,0,0,0
21,129,-416,5404,15278,0,0,0,0,0,0,0,0,0,0,0
22,129,-400,5408,15266,0,0,0,0,0,0,0,0,0,0,0
23,129,-388,5506,15288,0,0,0,0,0,0,0,0,0,0,0
24,129,-422,5374,15416,0,0,0,0,0,0,0,0,0,0,0
25,129,-470,5432,15360,0,0,0,0,0,0,0,0,0,0,0
26,129,-398,5494,15198,0,0,0,0,0,0,0,0,0,0,0
27,129,-500,5430,15348,0,0,0,0,0,0,0,0,0,0,0
28,129,-402,5486,15270,0,0,0,0,0,0,0,0,0,0,0
29,129,-474,5550,15360,0,0,0,0,0,0,0,0,0,0,0
30,129,-468,5368,15398,0,0,0,0,0,0,0,0,0,0,0
31,129,-424,5420,15354,0,0,0,0,0,0,0,0,0,0,0
32,129,-404,5454,15422,0,0,0,0,0,0,0,0,0,0,0
33,129,-406,5398,15410,0,0,0,0,0,0,0,0,0,0,0
34,129,-452,5486,15298,0,0,0,0,0,0,0,0,0,0,0
35,129,-456,5498,15424,0,0,0,0,0,0,0,0,0,0,0
36,129,-516,5380,15370,0,0,0,0,0,0,0,0,0,0,0
37,129,-444,5496,15338,0,0,0,0,0,0,0,0,0,0,0
38,129,-376,5462,15398,0,0,0,0,0,0,0,0,0,0,0
39,129,-520,5392,15418,0,0,0,0,0,0,0,0,0,0,0
40,129,-402,5494,15468,0,0,0,0,0,0,0,0,0,0,0
41,129,-388,5450,15286,0,0,0,0,0,0,0,0,0,0,0
42,129,-408,5448,15200,0,0,0,0,0,0,0,0,0,0,0
43,129,-496,5528,15308,0,0,0,0,0,0,0,0,0,0,0
44,129,-450,5418,15132,0,0,0,0,0,0,0,0,0,0,0
45,129,-438,5512,15344,0,0,0,0,0,0,0,0,0,0,0
46,129,-412,5346,15298,0,0,0,0,0,0,0,0,0,0,0
47,129,-398,5554,15432,0,0,0,0,0,0,0,0,0,0,0
48,129,-420,5492,15252,0,0,0,0,0,0,0,0,0,0,0
49,129,-378,5380,15286,0,0,0,0,0,0,0,0,0,0,0
50,129,-432,5480,15356,0,0,0,0,0,0,0,0,0,0,0
51,129,-486,5432,15448,0,0,0,0,0,0,0,0,0,0,0
52,129,-444,5382,15392,0,0,0,0,0,0,0,0,0,0,0
53,129,-384,5454,15440,0,0,0,0,0,0,0,0,0,0,0
54,129,-460,5430,15356,0,0,0,0,0,0,0,0,0,0,0
55,129,-446,5432,15376,0,0,0,0,0,0,0,0,0,0,0
56,129,-464,5494,15386,0,0,0,0,0,0,0,0,0,0,0
57,129,-420,5532,15422,0,0,0,0,0,0,0,0,0,0,0
58,129,-464,5420,15384,0,0,0,0,0,0,0,0,0,0,0
59,129,-396,5576,15350,0,0,0,0,0,0,0,0,0,0,0
60,129,-462,5462,15304,0,0,0,0,0,0,0,0,0,0,0
61,129,-490,5374,15230,0,0,0,0,0,0,0,0,0,0,0
62,129,-406,5492,15342,0,0,0,0,0,0,0,0,0,0,0
63,129,-356,5388,15270,0,0,0,0,0,0,0,0,0,0,0
64,129,-422,5378,15328,0,0,0,0,0,0,0,0,0,0,0
65,129,-386,5468,15492,0,0,0,0,0,0,0,0,0,0,0
66,129,-378,5504,15186,0,0,0,0,0,0,0,0,0,0,0
