ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,129,10722,12700,276,0,0,0,0,0,0,0,0,0,0,0
1,129,10762,12654,344,0,0,0,0,0,0,0,0,0,0,0
2,129,10718,12596,454,0,0,0,0,0,0,0,0,0,0,0
3,129,10696,12722,260,0,0,0,0,0,0,0,0,0,0,0
4,129,10722,12634,236,0,0,0,0,0,0,0,0,0,0,0
5,129,10734,12658,378,0,0,0,0,0,0,0,0,0,0,0
6,129,10798,12676,336,0,0,0,0,0,0,0,0,0,0,0
7,129,10694,12594,230,0,0,0,0,0,0,0,0,0,0,0
8,129,10734,12696,376,0,0,0,0,0,0,0,0,0,0,0
9,129,10792,12720,402,0,0,0,0,0,0,0,0,0,0,0
10,129,10718,12668,230,0,0,0,0,0,0,0,0,0,0,0
11,129,10760,12714,434,0,0,0,0,0,0,0,0,0,0,0
12,129,10726,12654,320,0,0,0,0,0,0,0,0,0,0,0
13,129,10724,12604,322,0,0,0,0,0,0,0,0,0,0,0
14,129,10732,12678,308,0,0,0,0,0,0,0,0,0,0,0
15,129,10752,12670,350,0,0,0,0,0,0,0,0,0,0,0
16,129,10770,12710,308,0,0,0,0,0,0,0,0,0,0,0
17,129,10688,12708,322,0,0,0,0,0,0,0,0,0,0,0
18,129,10718,12634,400,0,0,0,0,0,0,0,0,0,0,0
19,129,10752,12660,324,0,0,0,0,0,0,0,0,0,0,0
20,129,10716,12744,358,0,0,0,0,0,0,0,0,0,0,0
21,129,10736,12674,304,0,0,0,0,0,0,0,0,0,0,0
22,129,10736,12694,278,0,0,0,0,0,0,0,0,0,0,0
23,129,10734,12678,326,0,0,0,0,0,0,0,0,0,0,0
24,129,10826,12654,256,0,0,0,0,0,0,0,0,0,0,0
25,129,10664,12640,358,0,0,0,0,0,0,0,0,0,0,0
26,129,10750,12724,360,0,0,0,0,0,0,0,0,0,0,0
27,129,10760,12656,252,0,0,0,0,0,0,0,0,0,0,0
28,129,10740,12664,226,0,0,0,0,0,0,0,0,0,0,0
29,129,10804,12806,350,0,0,0,0,0,0,0,0,0,0,0
30,129,10762,12610,264,0,0,0,0,0,0,0,0,0,0,0
31,129,10750,12718,222,0,0,0,0,0,0,0,0,0,0,0
32,129,10766,12722,294,0,0,0,0,0,0,0,0,0,0,0
33,129,10730,12630,356,0,0,0,0,0,0,0,0,0,0,0
34,129,10744,12756,366,0,0,0,0,0,0,0,0,0,0,0
35,129,10766,12690,334,0,0,0,0,0,0,0,0,0,0,0
36,129,10740,12650,256,0,0,0,0,0,0,0,0,0,0,0
37,129,10660,12740,248,0,0,0,0,0,0,0,0,0,0,0
38,129,10756,12578,326,0,0,0,0,0,0,0,0,0,0,0
39,129,10788,12646,228,0,0,0,0,0,0,0,0,0,0,0
40,129,10766,12764,256,0,0,0,0,0,0,0,0,0,0,0
41,129,10726,12670,336,0,0,0,0,0,0,0,0,0,0,0
42,129,10764,12682,312,0,0,0,0,0,0,0,0,0,0,0
43,129,10754,12706,434,0,0,0,0,0,0,0,0,0,0,0
44,129,10798,12736,246,0,0,0,0,0,0,0,0,0,0,0
45,129,10708,12694,354,0,0,0,0,0,0,0,0,0,0,0
46,129,10760,12712,320,0,0,0,0,0,0,0,0,0,0,0
47,129,10704,12654,414,0,0,0,0,0,0,0,0,0,0,0
48,129,10666,12622,26,0,0,0,0,0,0,0,0,0,0,0
49,129,10748,12740,248,0,0,0,0,0,0,0,0,0,0,0
50,129,10762,12742,458,0,0,0,0,0,0,0,0,0,0,0
51,129,10748,12638,352,0,0,0,0,0,0,0,0,0,0,0
52,129,10700,12752,242,0,0,0,0,0,0,0,0,0,0,0
