ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,129,-1090,15622,5922,0,0,0,0,0,0,0,0,0,0,0
1,129,-1086,15542,5766,0,0,0,0,0,0,0,0,0,0,0
2,129,-1162,15560,5890,0,0,0,0,0,0,0,0,0,0,0
3,129,-1092,15622,5712,0,0,0,0,0,0,0,0,0,0,0
4,129,-1172,15538,5702,0,0,0,0,0,0,0,0,0,0,0
5,129,-1142,15498,5858,0,0,0,0,0,0,0,0,0,0,0
6,129,-1118,15536,5914,0,0,0,0,0,0,0,0,0,0,0
7,129,-1108,15526,5780,0,0,0,0,0,0,0,0,0,0,0
8,129,-1094,15500,5838,0,0,0,0,0,0,0,0,0,0,0
9,129,-1088,15638,5712,0,0,0,0,0,0,0,0,0,0,0
10,129,-1086,15578,5916,0,0,0,0,0,0,0,0,0,0,0
11,129,-1094,15538,5946,0,0,0,0,0,0,0,0,0,0,0
12,129,-1074,15662,5958,0,0,0,0,0,0,0,0,0,0,0
13,129,-1144,15510,5702,0,0,0,0,0,0,0,0,0,0,0
14,129,-1154,15548,5788,0,0,0,0,0,0,0,0,0,0,0
15,129,-1042,15660,5782,0,0,0,0,0,0,0,0,0,0,0
16,129,-1130,15518,5900,0,0,0,0,0,0,0,0,0,0,0
17,129,-1082,15456,5778,0,0,0,0,0,0,0,0,0,0,0
18,129,-1066,15638,5800,0,0,0,0,0,0,0,0,0,0,0
19,129,-1124,15496,5812,0,0,0,0,0,0,0,0,0,0,0
20,129,-1112,15582,5778,0,0,0,0,0,0,0,0,0,0,0
21,129,-1068,15554,5740,0,0,0,0,0,0,0,0,0,0,0
22,129,-1106,15530,5764,0,0,0,0,0,0,0,0,0,0,0
23,129,-1156,15624,5724,0,0,0,0,0,0,0,0,0,0,0
24,129,-1122,15544,5750,0,0,0,0,0,0,0,0,0,0,0
25,129,-1160,15508,5782,0,0,0,0,0,0,0,0,0,0,0
26,129,-1080,15554,5874,0,0,0,0,0,0,0,0,0,0,0
27,129,-1100,15566,5794,0,0,0,0,0,0,0,0,0,0,0
28,129,-1100,15464,5794,0,0,0,0,0,0,0,0,0,0,0
29,129,-1106,15558,5774,0,0,0,0,0,0,0,0,0,0,0
30,129,-1048,15540,5690,0,0,0,0,0,0,0,0,0,0,0
