ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,129,15568,5532,12,0,0,0,0,0,0,0,0,0,0,0
1,129,15502,5468,192,0,0,0,0,0,0,0,0,0,0,0
2,129,15574,5526,82,0,0,0,0,0,0,0,0,0,0,0
3,129,15534,5500,152,0,0,0,0,0,0,0,0,0,0,0
4,129,15460,5428,130,0,0,0,0,0,0,0,0,0,0,0
5,129,15594,5496,34,0,0,0,0,0,0,0,0,0,0,0
6,129,15528,5496,126,0,0,0,0,0,0,0,0,0,0,0
7,129,15534,5570,128,0,0,0,0,0,0,0,0,0,0,0
8,129,15574,5522,130,0,0,0,0,0,0,0,0,0,0,0
9,129,15586,5414,182,0,0,0,0,0,0,0,0,0,0,0
10,129,15574,5438,84,0,0,0,0,0,0,0,0,0,0,0
11,129,15534,5466,32,0,0,0,0,0,0,0,0,0,0,0
12,129,15522,5456,116,0,0,0,0,0,0,0,0,0,0,0
13,129,15636,5488,174,0,0,0,0,0,0,0,0,0,0,0
14,129,15566,5382,248,0,0,0,0,0,0,0,0,0,0,0
15,129,15514,5482,188,0,0,0,0,0,0,0,0,0,0,0
16,129,15540,5564,130,0,0,0,0,0,0,0,0,0,0,0
17,129,15474,5446,164,0,0,0,0,0,0,0,0,0,0,0
18,129,15518,5384,116,0,0,0,0,0,0,0,0,0,0,0
19,129,15532,5430,76,0,0,0,0,0,0,0,0,0,0,0
20,129,15554,5562,214,0,0,0,0,0,0,0,0,0,0,0
21,129,15570,5428,64,0,0,0,0,0,0,0,0,0,0,0
22,129,15540,5478,-28,0,0,0,0,0,0,0,0,0,0,0
23,129,15546,5438,170,0,0,0,0,0,0,0,0,0,0,0
24,129,15462,5520,78,0,0,0,0,0,0,0,0,0,0,0
25,129,15514,5474,60,0,0,0,0,0,0,0,0,0,0,0
26,129,15628,5542,36,0,0,0,0,0,0,0,0,0,0,0
27,129,15494,5462,138,0,0,0,0,0,0,0,0,0,0,0
28,129,15530,5502,84,0,0,0,0,0,0,0,0,0,0,0
29,129,15598,5516,152,0,0,0,0,0,0,0,0,0,0,0
30,129,15512,5524,234,0,0,0,0,0,0,0,0,0,0,0
31,129,15522,5450,184,0,0,0,0,0,0,0,0,0,0,0
32,129,15542,5482,104,0,0,0,0,0,0,0,0,0,0,0
33,129,15488,5514,112,0,0,0,0,0,0,0,0,0,0,0
34,129,15516,5592,148,0,0,0,0,0,0,0,0,0,0,0
35,129,15594,5444,198,0,0,0,0,0,0,0,0,0,0,0
36,129,15628,5512,182,0,0,0,0,0,0,0,0,0,0,0
37,129,15600,5516,238,0,0,0,0,0,0,0,0,0,0,0
38,129,15588,5444,94,0,0,0,0,0,0,0,0,0,0,0
39,129,15528,5452,190,0,0,0,0,0,0,0,0,0,0,0
