ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,129,1948,-126,16106,0,0,0,0,0,0,0,0,0,0,0
1,129,1464,180,16228,0,0,0,0,0,0,0,0,0,0,0
2,129,2054,340,16180,0,0,0,0,0,0,0,0,0,0,0
3,129,2176,682,16614,0,0,0,0,0,0,0,0,0,0,0
4,129,2376,454,16282,0,0,0,0,0,0,0,0,0,0,0
5,129,2182,300,16344,0,0,0,0,0,0,0,0,0,0,0
6,129,2280,348,16346,0,0,0,0,0,0,0,0,0,0,0
7,129,2112,252,16186,0,0,0,0,0,0,0,0,0,0,0
8,129,2010,388,16204,0,0,0,0,0,0,0,0,0,0,0
9,129,2176,392,16098,0,0,0,0,0,0,0,0,0,0,0
10,129,2360,308,15860,0,0,0,0,0,0,0,0,0,0,0
11,129,2426,420,16110,0,0,0,0,0,0,0,0,0,0,0
12,129,2044,440,16374,0,0,0,0,0,0,0,0,0,0,0
13,129,1984,300,16630,0,0,0,0,0,0,0,0,0,0,0
14,129,1998,70,16138,0,0,0,0,0,0,0,0,0,0,0
15,129,1976,570,16324,0,0,0,0,0,0,0,0,0,0,0
16,129,2214,576,16162,0,0,0,0,0,0,0,0,0,0,0
17,129,2440,442,15874,0,0,0,0,0,0,0,0,0,0,0
18,129,2274,574,16420,0,0,0,0,0,0,0,0,0,0,0
19,129,1966,264,15994,0,0,0,0,0,0,0,0,0,0,0
20,129,1926,26,16174,0,0,0,0,0,0,0,0,0,0,0
21,129,2084,146,16058,0,0,0,0,0,0,0,0,0,0,0
22,129,2140,136,16088,0,0,0,0,0,0,0,0,0,0,0
23,129,1970,44,16158,0,0,0,0,0,0,0,0,0,0,0
24,129,2268,144,15900,0,0,0,0,0,0,0,0,0,0,0
25,129,2066,770,16292,0,0,0,0,0,0,0,0,0,0,0
26,129,2094,526,16594,0,0,0,0,0,0,0,0,0,0,0
27,129,2224,502,16288,0,0,0,0,0,0,0,0,0,0,0
28,129,2136,362,16230,0,0,0,0,0,0,0,0,0,0,0
29,129,2108,282,15962,0,0,0,0,0,0,0,0,0,0,0
30,129,1862,236,16214,0,0,0,0,0,0,0,0,0,0,0
31,129,2054,346,16244,0,0,0,0,0,0,0,0,0,0,0
32,129,2186,314,16330,0,0,0,0,0,0,0,0,0,0,0
33,129,2014,468,16554,0,0,0,0,0,0,0,0,0,0,0
34,129,2174,294,15996,0,0,0,0,0,0,0,0,0,0,0
35,129,2240,438,15846,0,0,0,0,0,0,0,0,0,0,0
36,129,2050,442,16484,0,0,0,0,0,0,0,0,0,0,0
37,129,1804,222,16098,0,0,0,0,0,0,0,0,0,0,0
38,129,2018,134,16020,0,0,0,0,0,0,0,0,0,0,0
39,129,2060,106,15940,0,0,0,0,0,0,0,0,0,0,0
40,129,2106,290,16008,0,0,0,0,0,0,0,0,0,0,0
41,129,1802,536,16338,0,0,0,0,0,0,0,0,0,0,0
42,129,1836,626,16526,0,0,0,0,0,0,0,0,0,0,0
43,129,2088,536,16208,0,0,0,0,0,0,0,0,0,0,0
44,129,1930,214,16142,0,0,0,0,0,0,0,0,0,0,0
45,129,2094,6,15798,0,0,0,0,0,0,0,0,0,0,0
46,129,1832,126,16376,0,0,0,0,0,0,0,0,0,0,0
47,129,2220,428,16182,0,0,0,0,0,0,0,0,0,0,0
48,129,2108,428,16288,0,0,0,0,0,0,0,0,0,0,0
49,129,2082,154,15904,0,0,0,0,0,0,0,0,0,0,0
50,129,1708,150,16288,0,0,0,0,0,0,0,0,0,0,0
51,129,1902,224,16298,0,0,0,0,0,0,0,0,0,0,0
52,129,1810,278,16066,0,0,0,0,0,0,0,0,0,0,0
53,129,2064,148,16094,0,0,0,0,0,0,0,0,0,0,0
54,129,2204,330,16190,0,0,0,0,0,0,0,0,0,0,0
55,129,1758,274,16402,0,0,0,0,0,0,0,0,0,0,0
56,129,1842,146,16228,0,0,0,0,0,0,0,0,0,0,0
57,129,1804,184,16130,0,0,0,0,0,0,0,0,0,0,0
58,129,2148,202,15904,0,0,0,0,0,0,0,0,0,0,0
59,129,2054,454,16024,0,0,0,0,0,0,0,0,0,0,0
60,129,1942,272,16272,0,0,0,0,0,0,0,0,0,0,0
61,129,1980,14,16146,0,0,0,0,0,0,0,0,0,0,0
62,129,1876,200,16486,0,0,0,0,0,0,0,0,0,0,0
63,129,1930,412,16266,0,0,0,0,0,0,0,0,0,0,0
64,129,1928,392,16094,0,0,0,0,0,0,0,0,0,0,0
65,129,1930,312,16142,0,0,0,0,0,0,0,0,0,0,0
66,129,1858,202,16340,0,0,0,0,0,0,0,0,0,0,0
67,129,1908,112,15998,0,0,0,0,0,0,0,0,0,0,0
68,129,1632,202,16136,0,0,0,0,0,0,0,0,0,0,0
69,129,2086,220,16150,0,0,0,0,0,0,0,0,0,0,0
70,129,2012,214,16388,0,0,0,0,0,0,0,0,0,0,0
71,129,1692,338,16410,0,0,0,0,0,0,0,0,0,0,0
72,129,2084,112,15942,0,0,0,0,0,0,0,0,0,0,0
