ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,129,864,16390,976,0,0,0,0,0,0,0,0,0,0,0
1,129,958,16520,956,0,0,0,0,0,0,0,0,0,0,0
2,129,920,16410,928,0,0,0,0,0,0,0,0,0,0,0
3,129,898,16452,774,0,0,0,0,0,0,0,0,0,0,0
4,129,942,16450,936,0,0,0,0,0,0,0,0,0,0,0
5,129,844,16478,866,0,0,0,0,0,0,0,0,0,0,0
6,129,806,16420,788,0,0,0,0,0,0,0,0,0,0,0
7,129,876,16480,908,0,0,0,0,0,0,0,0,0,0,0
8,129,758,16432,934,0,0,0,0,0,0,0,0,0,0,0
9,129,822,16362,906,0,0,0,0,0,0,0,0,0,0,0
10,129,842,16506,1074,0,0,0,0,0,0,0,0,0,0,0
11,129,778,16424,1082,0,0,0,0,0,0,0,0,0,0,0
12,129,840,16460,1066,0,0,0,0,0,0,0,0,0,0,0
13,129,754,16430,1068,0,0,0,0,0,0,0,0,0,0,0
14,129,810,16420,1196,0,0,0,0,0,0,0,0,0,0,0
15,129,684,16408,1170,0,0,0,0,0,0,0,0,0,0,0
16,129,752,16382,1098,0,0,0,0,0,0,0,0,0,0,0
17,129,776,16344,1156,0,0,0,0,0,0,0,0,0,0,0
18,129,780,16464,1028,0,0,0,0,0,0,0,0,0,0,0
19,129,686,16346,1126,0,0,0,0,0,0,0,0,0,0,0
20,129,660,16394,1176,0,0,0,0,0,0,0,0,0,0,0
21,129,726,16494,1108,0,0,0,0,0,0,0,0,0,0,0
22,129,628,16490,1174,0,0,0,0,0,0,0,0,0,0,0
23,129,660,16346,1170,0,0,0,0,0,0,0,0,0,0,0
24,129,576,16480,1204,0,0,0,0,0,0,0,0,0,0,0
25,129,672,16414,1180,0,0,0,0,0,0,0,0,0,0,0
26,129,576,16500,1344,0,0,0,0,0,0,0,0,0,0,0
27,129,616,16396,1276,0,0,0,0,0,0,0,0,0,0,0
28,129,574,16496,1176,0,0,0,0,0,0,0,0,0,0,0
29,129,650,16456,1222,0,0,0,0,0,0,0,0,0,0,0
30,129,538,16618,1002,0,0,0,0,0,0,0,0,0,0,0
31,129,364,16330,1362,0,0,0,0,0,0,0,0,0,0,0
32,129,244,16294,1990,0,0,0,0,0,0,0,0,0,0,0
33,129,190,16288,1998,0,0,0,0,0,0,0,0,0,0,0
34,129,218,16184,2292,0,0,0,0,0,0,0,0,0,0,0
35,129,220,16260,2104,0,0,0,0,0,0,0,0,0,0,0
36,129,400,16388,1986,0,0,0,0,0,0,0,0,0,0,0
37,129,470,16330,2274,0,0,0,0,0,0,0,0,0,0,0
38,129,536,16456,2160,0,0,0,0,0,0,0,0,0,0,0
39,129,346,16288,1962,0,0,0,0,0,0,0,0,0,0,0
40,129,364,16260,1590,0,0,0,0,0,0,0,0,0,0,0
41,129,506,16350,1432,0,0,0,0,0,0,0,0,0,0,0
42,129,676,16446,1564,0,0,0,0,0,0,0,0,0,0,0
43,129,648,16518,1382,0,0,0,0,0,0,0,0,0,0,0
44,129,550,16414,960,0,0,0,0,0,0,0,0,0,0,0
45,129,488,16410,696,0,0,0,0,0,0,0,0,0,0,0
46,129,670,16530,796,0,0,0,0,0,0,0,0,0,0,0
47,129,864,16526,770,0,0,0,0,0,0,0,0,0,0,0
48,129,886,16558,850,0,0,0,0,0,0,0,0,0,0,0
49,129,768,16584,960,0,0,0,0,0,0,0,0,0,0,0
50,129,618,16448,1142,0,0,0,0,0,0,0,0,0,0,0
51,129,476,16426,1220,0,0,0,0,0,0,0,0,0,0,0
52,129,302,16290,1398,0,0,0,0,0,0,0,0,0,0,0
53,129,390,16372,1696,0,0,0,0,0,0,0,0,0,0,0
54,129,468,16464,1580,0,0,0,0,0,0,0,0,0,0,0
55,129,450,16448,1640,0,0,0,0,0,0,0,0,0,0,0
56,129,476,16368,1528,0,0,0,0,0,0,0,0,0,0,0
57,129,500,16420,1442,0,0,0,0,0,0,0,0,0,0,0
58,129,498,16460,1244,0,0,0,0,0,0,0,0,0,0,0
59,129,618,16458,1012,0,0,0,0,0,0,0,0,0,0,0
60,129,724,16538,900,0,0,0,0,0,0,0,0,0,0,0
61,129,724,16506,628,0,0,0,0,0,0,0,0,0,0,0
62,129,548,16550,528,0,0,0,0,0,0,0,0,0,0,0
63,129,574,16468,384,0,0,0,0,0,0,0,0,0,0,0
64,129,470,16494,592,0,0,0,0,0,0,0,0,0,0,0
65,129,476,16384,620,0,0,0,0,0,0,0,0,0,0,0
66,129,436,16482,854,0,0,0,0,0,0,0,0,0,0,0
67,129,432,16478,902,0,0,0,0,0,0,0,0,0,0,0
68,129,482,16430,800,0,0,0,0,0,0,0,0,0,0,0
69,129,558,16478,950,0,0,0,0,0,0,0,0,0,0,0
70,129,444,16488,734,0,0,0,0,0,0,0,0,0,0,0
71,129,316,16430,872,0,0,0,0,0,0,0,0,0,0,0
72,129,278,16426,930,0,0,0,0,0,0,0,0,0,0,0
73,129,380,16500,692,0,0,0,0,0,0,0,0,0,0,0
74,129,336,16460,904,0,0,0,0,0,0,0,0,0,0,0
75,129,322,16476,724,0,0,0,0,0,0,0,0,0,0,0
76,129,292,16456,644,0,0,0,0,0,0,0,0,0,0,0
77,129,302,16514,662,0,0,0,0,0,0,0,0,0,0,0
78,129,358,16442,948,0,0,0,0,0,0,0,0,0,0,0
79,129,386,16444,906,0,0,0,0,0,0,0,0,0,0,0
80,129,428,16464,854,0,0,0,0,0,0,0,0,0,0,0
81,129,468,16370,1214,0,0,0,0,0,0,0,0,0,0,0
82,129,506,16438,1174,0,0,0,0,0,0,0,0,0,0,0
83,129,416,16520,1380,0,0,0,0,0,0,0,0,0,0,0
84,129,358,16478,1414,0,0,0,0,0,0,0,0,0,0,0
