ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,129,-93,16732,-275,0,0,0,0,0,0,0,0,0,0,0
1,129,9,16711,-220,0,0,0,0,0,0,0,0,0,0,0
2,129,-37,16680,-189,0,0,0,0,0,0,0,0,0,0,0
3,129,-60,16695,-295,0,0,0,0,0,0,0,0,0,0,0
4,129,-6,16677,-241,0,0,0,0,0,0,0,0,0,0,0
5,129,-15,16640,-339,0,0,0,0,0,0,0,0,0,0,0
6,129,1,16672,-337,0,0,0,0,0,0,0,0,0,0,0
7,129,-43,16689,-353,0,0,0,0,0,0,0,0,0,0,0
8,129,-14,16678,-289,0,0,0,0,0,0,0,0,0,0,0
9,129,-28,16768,-280,0,0,0,0,0,0,0,0,0,0,0
10,129,29,16712,-194,0,0,0,0,0,0,0,0,0,0,0
11,129,63,16756,-487,0,0,0,0,0,0,0,0,0,0,0
12,129,11,16741,-306,0,0,0,0,0,0,0,0,0,0,0
13,129,-44,16692,-267,0,0,0,0,0,0,0,0,0,0,0
14,129,1,16681,-284,0,0,0,0,0,0,0,0,0,0,0
15,129,15,16755,-250,0,0,0,0,0,0,0,0,0,0,0
16,129,-36,16686,-223,0,0,0,0,0,0,0,0,0,0,0
17,129,-74,16668,-350,0,0,0,0,0,0,0,0,0,0,0
18,129,-63,16569,-282,0,0,0,0,0,0,0,0,0,0,0
19,129,-100,16690,-312,0,0,0,0,0,0,0,0,0,0,0
20,129,1,16787,-417,0,0,0,0,0,0,0,0,0,0,0
21,129,-50,16665,-351,0,0,0,0,0,0,0,0,0,0,0
22,129,-38,16738,-294,0,0,0,0,0,0,0,0,0,0,0
23,129,-2,16666,-313,0,0,0,0,0,0,0,0,0,0,0
24,129,-139,16725,-272,0,0,0,0,0,0,0,0,0,0,0
25,129,-43,16701,-305,0,0,0,0,0,0,0,0,0,0,0
26,129,21,16812,-319,0,0,0,0,0,0,0,0,0,0,0
27,129,-192,16824,-389,0,0,0,0,0,0,0,0,0,0,0
28,129,-6,16613,-465,0,0,0,0,0,0,0,0,0,0,0
29,129,-129,16755,-451,0,0,0,0,0,0,0,0,0,0,0
30,129,-167,16706,-336,0,0,0,0,0,0,0,0,0,0,0
31,129,-61,16582,-568,0,0,0,0,0,0,0,0,0,0,0
32,129,-97,16786,-389,0,0,0,0,0,0,0,0,0,0,0
33,129,-179,16570,-602,0,0,0,0,0,0,0,0,0,0,0
34,129,-189,16790,-406,0,0,0,0,0,0,0,0,0,0,0
35,129,-239,16706,-443,0,0,0,0,0,0,0,0,0,0,0
36,129,-250,16494,-533,0,0,0,0,0,0,0,0,0,0,0
37,129,-120,16696,-552,0,0,0,0,0,0,0,0,0,0,0
38,129,-96,16623,-472,0,0,0,0,0,0,0,0,0,0,0
39,129,-32,16711,-498,0,0,0,0,0,0,0,0,0,0,0
40,129,-2166,17202,122,0,0,0,0,0,0,0,0,0,0,0
41,129,543,16522,-901,0,0,0,0,0,0,0,0,0,0,0
42,129,35,16779,-619,0,0,0,0,0,0,0,0,0,0,0
43,129,-214,16665,-723,0,0,0,0,0,0,0,0,0,0,0
44,129,-207,16638,-593,0,0,0,0,0,0,0,0,0,0,0
45,129,-85,16765,-650,0,0,0,0,0,0,0,0,0,0,0
46,129,-52,16701,-772,0,0,0,0,0,0,0,0,0,0,0
47,129,-127,16711,-835,0,0,0,0,0,0,0,0,0,0,0
48,129,-32,16652,-833,0,0,0,0,0,0,0,0,0,0,0
49,129,-27,16724,-806,0,0,0,0,0,0,0,0,0,0,0
50,129,-118,16741,-587,0,0,0,0,0,0,0,0,0,0,0
51,129,-53,16719,-838,0,0,0,0,0,0,0,0,0,0,0
52,129,-21,16642,-809,0,0,0,0,0,0,0,0,0,0,0
53,129,49,16758,-749,0,0,0,0,0,0,0,0,0,0,0
54,129,111,16754,-732,0,0,0,0,0,0,0,0,0,0,0
55,129,142,16844,-579,0,0,0,0,0,0,0,0,0,0,0
56,129,37,16716,-695,0,0,0,0,0,0,0,0,0,0,0
57,129,9,16704,-638,0,0,0,0,0,0,0,0,0,0,0
58,129,-192,16751,-626,0,0,0,0,0,0,0,0,0,0,0
59,129,-203,16788,-668,0,0,0,0,0,0,0,0,0,0,0
60,129,-166,16717,-730,0,0,0,0,0,0,0,0,0,0,0
61,129,-376,16599,-652,0,0,0,0,0,0,0,0,0,0,0
