ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,129,1726,15006,7530,0,0,0,0,0,0,0,0,0,0,0
1,129,1738,15692,7474,0,0,0,0,0,0,0,0,0,0,0
2,129,1502,16228,7794,0,0,0,0,0,0,0,0,0,0,0
3,129,1026,17070,7446,0,0,0,0,0,0,0,0,0,0,0
4,129,1314,16542,7400,0,0,0,0,0,0,0,0,0,0,0
5,129,1680,15226,7292,0,0,0,0,0,0,0,0,0,0,0
6,129,1896,14966,6924,0,0,0,0,0,0,0,0,0,0,0
7,129,2000,15068,6668,0,0,0,0,0,0,0,0,0,0,0
8,129,2022,14774,7104,0,0,0,0,0,0,0,0,0,0,0
9,129,1456,14198,6754,0,0,0,0,0,0,0,0,0,0,0
10,129,2058,14486,6986,0,0,0,0,0,0,0,0,0,0,0
11,129,2026,14528,7382,0,0,0,0,0,0,0,0,0,0,0
12,129,1968,14524,7108,0,0,0,0,0,0,0,0,0,0,0
13,129,2026,14458,7300,0,0,0,0,0,0,0,0,0,0,0
14,129,2290,14556,7502,0,0,0,0,0,0,0,0,0,0,0
15,129,2192,14386,7214,0,0,0,0,0,0,0,0,0,0,0
16,129,1782,14474,7466,0,0,0,0,0,0,0,0,0,0,0
17,129,1766,14396,7448,0,0,0,0,0,0,0,0,0,0,0
18,129,1746,14648,7222,0,0,0,0,0,0,0,0,0,0,0
19,129,2084,14296,6546,0,0,0,0,0,0,0,0,0,0,0
20,129,1836,14398,6938,0,0,0,0,0,0,0,0,0,0,0
21,129,1630,13590,6782,0,0,0,0,0,0,0,0,0,0,0
22,129,1452,13740,7068,0,0,0,0,0,0,0,0,0,0,0
23,129,2188,14440,8232,0,0,0,0,0,0,0,0,0,0,0
24,129,3282,15342,7854,0,0,0,0,0,0,0,0,0,0,0
25,129,3586,14820,7902,0,0,0,0,0,0,0,0,0,0,0
26,129,2920,15020,8366,0,0,0,0,0,0,0,0,0,0,0
27,129,2958,14876,8220,0,0,0,0,0,0,0,0,0,0,0
28,129,2860,14512,7864,0,0,0,0,0,0,0,0,0,0,0
29,129,2164,16034,8182,0,0,0,0,0,0,0,0,0,0,0
30,129,2974,13568,8078,0,0,0,0,0,0,0,0,0,0,0
31,129,2996,13622,8136,0,0,0,0,0,0,0,0,0,0,0
32,129,2664,13630,8040,0,0,0,0,0,0,0,0,0,0,0
33,129,2340,13526,7362,0,0,0,0,0,0,0,0,0,0,0
34,129,2428,13662,7774,0,0,0,0,0,0,0,0,0,0,0
35,129,1702,14014,7294,0,0,0,0,0,0,0,0,0,0,0
36,129,1246,14282,7402,0,0,0,0,0,0,0,0,0,0,0
37,129,1138,15038,7638,0,0,0,0,0,0,0,0,0,0,0
38,129,1810,15710,7972,0,0,0,0,0,0,0,0,0,0,0
39,129,2222,15128,7910,0,0,0,0,0,0,0,0,0,0,0
40,129,2512,15096,8142,0,0,0,0,0,0,0,0,0,0,0
41,129,2488,14616,7886,0,0,0,0,0,0,0,0,0,0,0
42,129,2330,14566,7760,0,0,0,0,0,0,0,0,0,0,0
43,129,2222,14160,7812,0,0,0,0,0,0,0,0,0,0,0
44,129,2308,14714,7720,0,0,0,0,0,0,0,0,0,0,0
45,129,2114,14566,7246,0,0,0,0,0,0,0,0,0,0,0
46,129,1884,13942,7240,0,0,0,0,0,0,0,0,0,0,0
47,129,2256,13920,7386,0,0,0,0,0,0,0,0,0,0,0
48,129,2500,14706,7916,0,0,0,0,0,0,0,0,0,0,0
49,129,2320,14666,7746,0,0,0,0,0,0,0,0,0,0,0
50,129,2596,14414,7542,0,0,0,0,0,0,0,0,0,0,0
51,129,2350,14438,7308,0,0,0,0,0,0,0,0,0,0,0
52,129,2762,14624,7578,0,0,0,0,0,0,0,0,0,0,0
53,129,2778,14672,7656,0,0,0,0,0,0,0,0,0,0,0
54,129,2924,14450,7530,0,0,0,0,0,0,0,0,0,0,0
55,129,2800,14502,7502,0,0,0,0,0,0,0,0,0,0,0
56,129,2684,14494,7600,0,0,0,0,0,0,0,0,0,0,0
57,129,2658,14400,7452,0,0,0,0,0,0,0,0,0,0,0
58,129,2974,14428,7612,0,0,0,0,0,0,0,0,0,0,0
59,129,2696,14506,7586,0,0,0,0,0,0,0,0,0,0,0
60,129,2308,14298,7294,0,0,0,0,0,0,0,0,0,0,0
61,129,2368,14276,7354,0,0,0,0,0,0,0,0,0,0,0
62,129,2572,14638,7446,0,0,0,0,0,0,0,0,0,0,0
63,129,2394,14558,7332,0,0,0,0,0,0,0,0,0,0,0
64,129,2462,14696,7160,0,0,0,0,0,0,0,0,0,0,0
65,129,2318,14732,7344,0,0,0,0,0,0,0,0,0,0,0
66,129,2136,14512,7576,0,0,0,0,0,0,0,0,0,0,0
67,129,2522,14380,7026,0,0,0,0,0,0,0,0,0,0,0
68,129,2120,14780,7212,0,0,0,0,0,0,0,0,0,0,0
69,129,2142,14866,6946,0,0,0,0,0,0,0,0,0,0,0
70,129,2164,14580,6964,0,0,0,0,0,0,0,0,0,0,0
71,129,2414,14770,7170,0,0,0,0,0,0,0,0,0,0,0
72,129,2616,14688,7332,0,0,0,0,0,0,0,0,0,0,0
73,129,2278,14728,7122,0,0,0,0,0,0,0,0,0,0,0
74,129,2198,14552,6886,0,0,0,0,0,0,0,0,0,0,0
75,129,2476,14550,6978,0,0,0,0,0,0,0,0,0,0,0
76,129,2164,14798,7026,0,0,0,0,0,0,0,0,0,0,0
77,129,2618,14792,7276,0,0,0,0,0,0,0,0,0,0,0
78,129,2790,14816,7214,0,0,0,0,0,0,0,0,0,0,0
79,129,2872,14552,7194,0,0,0,0,0,0,0,0,0,0,0
80,129,2866,14610,7304,0,0,0,0,0,0,0,0,0,0,0
81,129,3498,14362,6906,0,0,0,0,0,0,0,0,0,0,0
82,129,2720,14976,6962,0,0,0,0,0,0,0,0,0,0,0
83,129,2300,15030,6754,0,0,0,0,0,0,0,0,0,0,0
84,129,2798,14486,7438,0,0,0,0,0,0,0,0,0,0,0
85,129,2760,15122,7142,0,0,0,0,0,0,0,0,0,0,0
86,129,2668,15004,6752,0,0,0,0,0,0,0,0,0,0,0
87,129,2460,14772,6872,0,0,0,0,0,0,0,0,0,0,0
88,129,2468,14776,7140,0,0,0,0,0,0,0,0,0,0,0
89,129,2506,14720,7256,0,0,0,0,0,0,0,0,0,0,0
90,129,2618,14920,7166,0,0,0,0,0,0,0,0,0,0,0
91,129,2614,15100,7218,0,0,0,0,0,0,0,0,0,0,0
92,129,2994,14882,7134,0,0,0,0,0,0,0,0,0,0,0
93,129,2738,14440,7006,0,0,0,0,0,0,0,0,0,0,0
94,129,2652,14336,7102,0,0,0,0,0,0,0,0,0,0,0
95,129,2712,14642,7104,0,0,0,0,0,0,0,0,0,0,0
96,129,2796,14714,7196,0,0,0,0,0,0,0,0,0,0,0
97,129,2718,14610,7058,0,0,0,0,0,0,0,0,0,0,0
98,129,2716,14830,7058,0,0,0,0,0,0,0,0,0,0,0
99,129,2348,14734,6770,0,0,0,0,0,0,0,0,0,0,0
100,129,2400,14760,7232,0,0,0,0,0,0,0,0,0,0,0
101,129,2756,15004,6964,0,0,0,0,0,0,0,0,0,0,0
102,129,2852,14650,7184,0,0,0,0,0,0,0,0,0,0,0
103,129,2688,14722,7108,0,0,0,0,0,0,0,0,0,0,0
104,129,2840,14846,7040,0,0,0,0,0,0,0,0,0,0,0
105,129,2760,14768,6972,0,0,0,0,0,0,0,0,0,0,0
106,129,2688,14690,7096,0,0,0,0,0,0,0,0,0,0,0
107,129,2704,14590,7046,0,0,0,0,0,0,0,0,0,0,0
108,129,2630,14682,6852,0,0,0,0,0,0,0,0,0,0,0
109,129,2612,14618,6958,0,0,0,0,0,0,0,0,0,0,0
110,129,2576,14744,6946,0,0,0,0,0,0,0,0,0,0,0
111,129,2590,14842,7030,0,0,0,0,0,0,0,0,0,0,0
112,129,2538,14860,6980,0,0,0,0,0,0,0,0,0,0,0
113,129,2476,14906,6856,0,0,0,0,0,0,0,0,0,0,0
114,129,2758,15078,7038,0,0,0,0,0,0,0,0,0,0,0
115,129,2644,14794,6792,0,0,0,0,0,0,0,0,0,0,0
116,129,2398,14814,6724,0,0,0,0,0,0,0,0,0,0,0
117,129,2406,14904,6694,0,0,0,0,0,0,0,0,0,0,0
118,129,2374,14784,6882,0,0,0,0,0,0,0,0,0,0,0
119,129,2470,14814,6610,0,0,0,0,0,0,0,0,0,0,0
120,129,2566,14698,6620,0,0,0,0,0,0,0,0,0,0,0
121,129,2462,14764,6890,0,0,0,0,0,0,0,0,0,0,0
122,129,2528,15016,6906,0,0,0,0,0,0,0,0,0,0,0
123,129,2756,14910,6800,0,0,0,0,0,0,0,0,0,0,0
124,129,2818,14862,6852,0,0,0,0,0,0,0,0,0,0,0
125,129,2752,14860,6866,0,0,0,0,0,0,0,0,0,0,0
126,129,2702,14726,6954,0,0,0,0,0,0,0,0,0,0,0
127,129,2520,14788,6874,0,0,0,0,0,0,0,0,0,0,0
128,129,2594,14734,6966,0,0,0,0,0,0,0,0,0,0,0
129,129,2644,14828,6830,0,0,0,0,0,0,0,0,0,0,0
130,129,2596,14808,6944,0,0,0,0,0,0,0,0,0,0,0
131,129,2582,14744,6822,0,0,0,0,0,0,0,0,0,0,0
132,129,2508,15120,6934,0,0,0,0,0,0,0,0,0,0,0
133,129,2606,14826,6812,0,0,0,0,0,0,0,0,0,0,0
