ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,129,-556,17997,3826,0,0,0,0,0,0,0,0,0,0,0
1,129,-4380,17141,13801,0,0,0,0,0,0,0,0,0,0,0
2,129,-3818,20831,5560,0,0,0,0,0,0,0,0,0,0,0
3,129,-1040,15778,2385,0,0,0,0,0,0,0,0,0,0,0
4,129,-2533,16627,2582,0,0,0,0,0,0,0,0,0,0,0
5,129,-702,16023,1157,0,0,0,0,0,0,0,0,0,0,0
6,129,-748,16492,712,0,0,0,0,0,0,0,0,0,0,0
7,129,744,16406,402,0,0,0,0,0,0,0,0,0,0,0
8,129,15,16377,1166,0,0,0,0,0,0,0,0,0,0,0
9,129,-185,16410,1086,0,0,0,0,0,0,0,0,0,0,0
10,129,511,16418,995,0,0,0,0,0,0,0,0,0,0,0
11,129,263,16571,1219,0,0,0,0,0,0,0,0,0,0,0
12,129,166,16521,1377,0,0,0,0,0,0,0,0,0,0,0
13,129,130,16936,957,0,0,0,0,0,0,0,0,0,0,0
14,129,145,16523,1151,0,0,0,0,0,0,0,0,0,0,0
15,129,-128,16930,1256,0,0,0,0,0,0,0,0,0,0,0
16,129,-1111,16815,2107,0,0,0,0,0,0,0,0,0,0,0
17,129,-107,17252,764,0,0,0,0,0,0,0,0,0,0,0
18,129,2415,6784,-4065,0,0,0,0,0,0,0,0,0,0,0
19,129,1394,20655,4204,0,0,0,0,0,0,0,0,0,0,0
20,129,456,16933,-334,0,0,0,0,0,0,0,0,0,0,0
21,129,1037,17228,-685,0,0,0,0,0,0,0,0,0,0,0
22,129,1619,17253,-390,0,0,0,0,0,0,0,0,0,0,0
23,129,1419,16313,488,0,0,0,0,0,0,0,0,0,0,0
24,129,1091,16517,1039,0,0,0,0,0,0,0,0,0,0,0
25,129,925,15701,681,0,0,0,0,0,0,0,0,0,0,0
26,129,211,16322,1022,0,0,0,0,0,0,0,0,0,0,0
27,129,390,15739,743,0,0,0,0,0,0,0,0,0,0,0
28,129,981,16994,-554,0,0,0,0,0,0,0,0,0,0,0
29,129,1625,15890,-368,0,0,0,0,0,0,0,0,0,0,0
30,129,1613,17522,1320,0,0,0,0,0,0,0,0,0,0,0
31,129,1725,17151,754,0,0,0,0,0,0,0,0,0,0,0
32,129,1061,17518,334,0,0,0,0,0,0,0,0,0,0,0
33,129,834,16424,1007,0,0,0,0,0,0,0,0,0,0,0
34,129,1247,16952,638,0,0,0,0,0,0,0,0,0,0,0
35,129,1716,16498,1153,0,0,0,0,0,0,0,0,0,0,0
36,129,1443,16674,1215,0,0,0,0,0,0,0,0,0,0,0
