ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,129,118,182,16452,0,0,0,0,0,0,0,0,0,0,0
1,129,170,30,16458,0,0,0,0,0,0,0,0,0,0,0
2,129,190,40,16314,0,0,0,0,0,0,0,0,0,0,0
3,129,170,100,16256,0,0,0,0,0,0,0,0,0,0,0
4,129,72,78,16458,0,0,0,0,0,0,0,0,0,0,0
5,129,128,160,16418,0,0,0,0,0,0,0,0,0,0,0
6,129,206,92,16404,0,0,0,0,0,0,0,0,0,0,0
7,129,136,130,16272,0,0,0,0,0,0,0,0,0,0,0
8,129,100,178,16302,0,0,0,0,0,0,0,0,0,0,0
9,129,174,54,16392,0,0,0,0,0,0,0,0,0,0,0
10,129,36,74,16406,0,0,0,0,0,0,0,0,0,0,0
11,129,26,126,16164,0,0,0,0,0,0,0,0,0,0,0
12,129,162,176,16304,0,0,0,0,0,0,0,0,0,0,0
13,129,192,104,16374,0,0,0,0,0,0,0,0,0,0,0
14,129,126,120,16402,0,0,0,0,0,0,0,0,0,0,0
15,129,148,140,16334,0,0,0,0,0,0,0,0,0,0,0
16,129,142,162,16368,0,0,0,0,0,0,0,0,0,0,0
17,129,178,130,16372,0,0,0,0,0,0,0,0,0,0,0
18,129,78,160,16440,0,0,0,0,0,0,0,0,0,0,0
19,129,74,164,16372,0,0,0,0,0,0,0,0,0,0,0
20,129,168,120,16292,0,0,0,0,0,0,0,0,0,0,0
21,129,188,128,16320,0,0,0,0,0,0,0,0,0,0,0
22,129,144,170,16372,0,0,0,0,0,0,0,0,0,0,0
23,129,116,180,16340,0,0,0,0,0,0,0,0,0,0,0
24,129,136,118,16338,0,0,0,0,0,0,0,0,0,0,0
25,129,196,156,16390,0,0,0,0,0,0,0,0,0,0,0
26,129,122,134,16322,0,0,0,0,0,0,0,0,0,0,0
27,129,114,38,16370,0,0,0,0,0,0,0,0,0,0,0
28,129,146,148,16368,0,0,0,0,0,0,0,0,0,0,0
29,129,136,184,16366,0,0,0,0,0,0,0,0,0,0,0
30,129,120,146,16334,0,0,0,0,0,0,0,0,0,0,0
31,129,172,130,16340,0,0,0,0,0,0,0,0,0,0,0
32,129,182,64,16380,0,0,0,0,0,0,0,0,0,0,0
33,129,154,122,16396,0,0,0,0,0,0,0,0,0,0,0
34,129,68,172,16164,0,0,0,0,0,0,0,0,0,0,0
35,129,182,130,16306,0,0,0,0,0,0,0,0,0,0,0
36,129,162,82,16394,0,0,0,0,0,0,0,0,0,0,0
37,129,216,118,16308,0,0,0,0,0,0,0,0,0,0,0
38,129,148,66,16374,0,0,0,0,0,0,0,0,0,0,0
39,129,164,210,16282,0,0,0,0,0,0,0,0,0,0,0
40,129,192,160,16370,0,0,0,0,0,0,0,0,0,0,0
41,129,150,142,16356,0,0,0,0,0,0,0,0,0,0,0
42,129,176,162,16426,0,0,0,0,0,0,0,0,0,0,0
43,129,120,106,16296,0,0,0,0,0,0,0,0,0,0,0
44,129,210,180,16326,0,0,0,0,0,0,0,0,0,0,0
45,129,192,116,16396,0,0,0,0,0,0,0,0,0,0,0
46,129,218,170,16414,0,0,0,0,0,0,0,0,0,0,0
47,129,182,152,16246,0,0,0,0,0,0,0,0,0,0,0
48,129,206,108,16428,0,0,0,0,0,0,0,0,0,0,0
49,129,180,112,16310,0,0,0,0,0,0,0,0,0,0,0
50,129,100,156,16308,0,0,0,0,0,0,0,0,0,0,0
51,129,210,154,16294,0,0,0,0,0,0,0,0,0,0,0
52,129,172,90,16218,0,0,0,0,0,0,0,0,0,0,0
53,129,114,104,16304,0,0,0,0,0,0,0,0,0,0,0
54,129,158,164,16426,0,0,0,0,0,0,0,0,0,0,0
55,129,196,162,16348,0,0,0,0,0,0,0,0,0,0,0
56,129,164,182,16440,0,0,0,0,0,0,0,0,0,0,0
57,129,218,98,16354,0,0,0,0,0,0,0,0,0,0,0
58,129,140,140,16478,0,0,0,0,0,0,0,0,0,0,0
59,129,142,124,16420,0,0,0,0,0,0,0,0,0,0,0
60,129,146,150,16340,0,0,0,0,0,0,0,0,0,0,0
61,129,208,66,16302,0,0,0,0,0,0,0,0,0,0,0
62,129,204,70,16342,0,0,0,0,0,0,0,0,0,0,0
63,129,150,136,16208,0,0,0,0,0,0,0,0,0,0,0
64,129,182,184,16366,0,0,0,0,0,0,0,0,0,0,0
65,129,184,180,16190,0,0,0,0,0,0,0,0,0,0,0
66,129,160,220,16352,0,0,0,0,0,0,0,0,0,0,0
67,129,160,120,16358,0,0,0,0,0,0,0,0,0,0,0
68,129,142,170,16382,0,0,0,0,0,0,0,0,0,0,0
69,129,206,140,16414,0,0,0,0,0,0,0,0,0,0,0
70,129,164,166,16328,0,0,0,0,0,0,0,0,0,0,0
71,129,150,210,16264,0,0,0,0,0,0,0,0,0,0,0
72,129,80,90,16234,0,0,0,0,0,0,0,0,0,0,0
73,129,188,112,16394,0,0,0,0,0,0,0,0,0,0,0
74,129,70,144,16342,0,0,0,0,0,0,0,0,0,0,0
75,129,132,92,16394,0,0,0,0,0,0,0,0,0,0,0
76,129,-3868,-70,16284,0,0,0,0,0,0,0,0,0,0,0
77,129,140,474,16532,0,0,0,0,0,0,0,0,0,0,0
78,129,-358,36,17038,0,0,0,0,0,0,0,0,0,0,0
79,129,594,8,16826,0,0,0,0,0,0,0,0,0,0,0
80,129,954,164,16222,0,0,0,0,0,0,0,0,0,0,0
81,129,1308,-1610,16246,0,0,0,0,0,0,0,0,0,0,0
82,129,-148,398,16434,0,0,0,0,0,0,0,0,0,0,0
83,129,-182,1490,16390,0,0,0,0,0,0,0,0,0,0,0
84,129,388,446,16154,0,0,0,0,0,0,0,0,0,0,0
85,129,-210,480,16324,0,0,0,0,0,0,0,0,0,0,0
86,129,-296,282,16420,0,0,0,0,0,0,0,0,0,0,0
87,129,-698,-194,16412,0,0,0,0,0,0,0,0,0,0,0
88,129,116,64,16188,0,0,0,0,0,0,0,0,0,0,0
89,129,1152,-336,16676,0,0,0,0,0,0,0,0,0,0,0
90,129,216,-154,16932,0,0,0,0,0,0,0,0,0,0,0
91,129,-18,184,15844,0,0,0,0,0,0,0,0,0,0,0
92,129,232,-26,16810,0,0,0,0,0,0,0,0,0,0,0
93,129,-452,-292,23580,0,0,0,0,0,0,0,0,0,0,0
94,129,854,-528,16324,0,0,0,0,0,0,0,0,0,0,0
95,129,-58,-1074,16420,0,0,0,0,0,0,0,0,0,0,0
96,129,-1406,-78,16652,0,0,0,0,0,0,0,0,0,0,0
97,129,310,-1420,16118,0,0,0,0,0,0,0,0,0,0,0
98,129,332,-568,16190,0,0,0,0,0,0,0,0,0,0,0
99,129,102,-276,15688,0,0,0,0,0,0,0,0,0,0,0
100,129,-96,402,16288,0,0,0,0,0,0,0,0,0,0,0
101,129,-28,-552,17112,0,0,0,0,0,0,0,0,0,0,0
102,129,-314,-744,18586,0,0,0,0,0,0,0,0,0,0,0
103,129,612,-1458,19218,0,0,0,0,0,0,0,0,0,0,0
104,129,-904,-250,20402,0,0,0,0,0,0,0,0,0,0,0
105,129,2422,-2462,19992,0,0,0,0,0,0,0,0,0,0,0
106,129,-1658,-2190,20028,0,0,0,0,0,0,0,0,0,0,0
107,129,-754,-3300,19538,0,0,0,0,0,0,0,0,0,0,0
108,129,426,-3614,17936,0,0,0,0,0,0,0,0,0,0,0
109,129,-2312,-4198,14068,0,0,0,0,0,0,0,0,0,0,0
110,129,-1540,-6018,11034,0,0,0,0,0,0,0,0,0,0,0
111,129,-2680,-9560,11324,0,0,0,0,0,0,0,0,0,0,0
112,129,-292,-11994,8264,0,0,0,0,0,0,0,0,0,0,0
113,129,1266,-11344,6510,0,0,0,0,0,0,0,0,0,0,0
114,129,950,-12014,8442,0,0,0,0,0,0,0,0,0,0,0
115,129,438,-12026,7236,0,0,0,0,0,0,0,0,0,0,0
116,129,1426,-14524,7234,0,0,0,0,0,0,0,0,0,0,0
117,129,-146,-15820,7066,0,0,0,0,0,0,0,0,0,0,0
118,129,-128,-12152,7326,0,0,0,0,0,0,0,0,0,0,0
119,129,4320,-10754,3246,0,0,0,0,0,0,0,0,0,0,0
120,129,3466,-16562,4382,0,0,0,0,0,0,0,0,0,0,0
121,129,1580,-19124,5966,0,0,0,0,0,0,0,0,0,0,0
122,129,1806,-15034,2830,0,0,0,0,0,0,0,0,0,0,0
123,129,2972,-14248,596,0,0,0,0,0,0,0,0,0,0,0
124,129,3350,-15692,436,0,0,0,0,0,0,0,0,0,0,0
