ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,129,4253,15799,3078,0,0,0,0,0,0,0,0,0,0,0
1,129,3957,15821,3038,0,0,0,0,0,0,0,0,0,0,0
2,129,4420,15740,2802,0,0,0,0,0,0,0,0,0,0,0
3,129,3903,15579,3057,0,0,0,0,0,0,0,0,0,0,0
4,129,3930,15689,2877,0,0,0,0,0,0,0,0,0,0,0
5,129,3622,15343,3277,0,0,0,0,0,0,0,0,0,0,0
6,129,3809,15477,2765,0,0,0,0,0,0,0,0,0,0,0
7,129,3746,15479,2804,0,0,0,0,0,0,0,0,0,0,0
8,129,3906,15391,2859,0,0,0,0,0,0,0,0,0,0,0
9,129,3478,15414,2696,0,0,0,0,0,0,0,0,0,0,0
10,129,3868,15729,2799,0,0,0,0,0,0,0,0,0,0,0
11,129,4089,15797,2744,0,0,0,0,0,0,0,0,0,0,0
12,129,3891,15915,2839,0,0,0,0,0,0,0,0,0,0,0
13,129,3981,15682,2800,0,0,0,0,0,0,0,0,0,0,0
14,129,4096,15856,2811,0,0,0,0,0,0,0,0,0,0,0
15,129,4151,15787,2693,0,0,0,0,0,0,0,0,0,0,0
16,129,4441,15840,2697,0,0,0,0,0,0,0,0,0,0,0
17,129,4196,15608,2913,0,0,0,0,0,0,0,0,0,0,0
18,129,4114,15614,2403,0,0,0,0,0,0,0,0,0,0,0
19,129,4160,15535,2441,0,0,0,0,0,0,0,0,0,0,0
20,129,4494,15458,2612,0,0,0,0,0,0,0,0,0,0,0
21,129,4083,15662,2717,0,0,0,0,0,0,0,0,0,0,0
22,129,3299,15446,2870,0,0,0,0,0,0,0,0,0,0,0
23,129,3887,15837,2492,0,0,0,0,0,0,0,0,0,0,0
24,129,4166,15502,2600,0,0,0,0,0,0,0,0,0,0,0
25,129,4317,15769,2661,0,0,0,0,0,0,0,0,0,0,0
26,129,4369,15839,2742,0,0,0,0,0,0,0,0,0,0,0
27,129,4109,15737,2694,0,0,0,0,0,0,0,0,0,0,0
28,129,3992,15652,2725,0,0,0,0,0,0,0,0,0,0,0
29,129,4118,15663,2657,0,0,0,0,0,0,0,0,0,0,0
30,129,4420,15996,2637,0,0,0,0,0,0,0,0,0,0,0
31,129,3951,15735,2714,0,0,0,0,0,0,0,0,0,0,0
32,129,3897,15653,2584,0,0,0,0,0,0,0,0,0,0,0
33,129,3876,15745,2601,0,0,0,0,0,0,0,0,0,0,0
34,129,3928,15719,2685,0,0,0,0,0,0,0,0,0,0,0
35,129,3986,15796,2573,0,0,0,0,0,0,0,0,0,0,0
36,129,3959,15715,2610,0,0,0,0,0,0,0,0,0,0,0
37,129,3894,15705,2639,0,0,0,0,0,0,0,0,0,0,0
38,129,3839,15760,2701,0,0,0,0,0,0,0,0,0,0,0
39,129,3692,15744,2501,0,0,0,0,0,0,0,0,0,0,0
40,129,3760,15736,2689,0,0,0,0,0,0,0,0,0,0,0
41,129,3877,15824,2684,0,0,0,0,0,0,0,0,0,0,0
42,129,3877,15810,2700,0,0,0,0,0,0,0,0,0,0,0
43,129,3764,15815,2740,0,0,0,0,0,0,0,0,0,0,0
44,129,3859,15712,2543,0,0,0,0,0,0,0,0,0,0,0
45,129,3587,15812,2752,0,0,0,0,0,0,0,0,0,0,0
46,129,3671,15919,2734,0,0,0,0,0,0,0,0,0,0,0
47,129,3856,15988,2709,0,0,0,0,0,0,0,0,0,0,0
48,129,3911,15827,2746,0,0,0,0,0,0,0,0,0,0,0
49,129,3764,15803,2724,0,0,0,0,0,0,0,0,0,0,0
50,129,3638,15781,2646,0,0,0,0,0,0,0,0,0,0,0
51,129,3533,15626,2641,0,0,0,0,0,0,0,0,0,0,0
52,129,3733,15647,2762,0,0,0,0,0,0,0,0,0,0,0
53,129,3814,15411,2908,0,0,0,0,0,0,0,0,0,0,0
54,129,3676,15794,2647,0,0,0,0,0,0,0,0,0,0,0
55,129,3870,15804,2775,0,0,0,0,0,0,0,0,0,0,0
56,129,4053,15752,2817,0,0,0,0,0,0,0,0,0,0,0
57,129,4152,15856,2847,0,0,0,0,0,0,0,0,0,0,0
58,129,4055,15738,2755,0,0,0,0,0,0,0,0,0,0,0
59,129,4021,15723,2719,0,0,0,0,0,0,0,0,0,0,0
60,129,3892,15639,2710,0,0,0,0,0,0,0,0,0,0,0
61,129,3837,15694,2750,0,0,0,0,0,0,0,0,0,0,0
62,129,3895,15704,2757,0,0,0,0,0,0,0,0,0,0,0
63,129,3915,15705,2787,0,0,0,0,0,0,0,0,0,0,0
64,129,4005,15631,2865,0,0,0,0,0,0,0,0,0,0,0
65,129,3841,15626,2785,0,0,0,0,0,0,0,0,0,0,0
66,129,3864,15618,2664,0,0,0,0,0,0,0,0,0,0,0
67,129,3787,15498,2769,0,0,0,0,0,0,0,0,0,0,0
68,129,3627,15622,2698,0,0,0,0,0,0,0,0,0,0,0
69,129,3325,15542,2750,0,0,0,0,0,0,0,0,0,0,0
70,129,3176,15395,2618,0,0,0,0,0,0,0,0,0,0,0
71,129,3314,15454,2293,0,0,0,0,0,0,0,0,0,0,0
72,129,3159,15540,2692,0,0,0,0,0,0,0,0,0,0,0
73,129,3373,15456,2436,0,0,0,0,0,0,0,0,0,0,0
74,129,2773,15449,2462,0,0,0,0,0,0,0,0,0,0,0
75,129,3284,15528,1824,0,0,0,0,0,0,0,0,0,0,0
76,129,3207,15804,2168,0,0,0,0,0,0,0,0,0,0,0
77,129,3233,15864,2394,0,0,0,0,0,0,0,0,0,0,0
78,129,3366,15831,2422,0,0,0,0,0,0,0,0,0,0,0
79,129,3004,16123,2840,0,0,0,0,0,0,0,0,0,0,0
80,129,3706,16212,3079,0,0,0,0,0,0,0,0,0,0,0
81,129,3321,16467,3015,0,0,0,0,0,0,0,0,0,0,0
82,129,3163,16083,2380,0,0,0,0,0,0,0,0,0,0,0
83,129,3172,15847,2140,0,0,0,0,0,0,0,0,0,0,0
84,129,3160,15859,1486,0,0,0,0,0,0,0,0,0,0,0
85,129,2848,16074,1610,0,0,0,0,0,0,0,0,0,0,0
86,129,2855,16533,1557,0,0,0,0,0,0,0,0,0,0,0
87,129,2656,16361,2018,0,0,0,0,0,0,0,0,0,0,0
88,129,4429,17755,1490,0,0,0,0,0,0,0,0,0,0,0
89,129,2374,15200,1559,0,0,0,0,0,0,0,0,0,0,0
90,129,2327,16427,1508,0,0,0,0,0,0,0,0,0,0,0
91,129,1883,17251,987,0,0,0,0,0,0,0,0,0,0,0
92,129,3149,16557,568,0,0,0,0,0,0,0,0,0,0,0
93,129,2266,17525,937,0,0,0,0,0,0,0,0,0,0,0
94,129,3038,16969,827,0,0,0,0,0,0,0,0,0,0,0
95,129,2570,16690,351,0,0,0,0,0,0,0,0,0,0,0
96,129,2701,16340,780,0,0,0,0,0,0,0,0,0,0,0
97,129,2890,16264,1253,0,0,0,0,0,0,0,0,0,0,0
98,129,2231,17615,1041,0,0,0,0,0,0,0,0,0,0,0
99,129,2717,16574,961,0,0,0,0,0,0,0,0,0,0,0
100,129,2992,16181,978,0,0,0,0,0,0,0,0,0,0,0
101,129,3394,15915,1424,0,0,0,0,0,0,0,0,0,0,0
102,129,3468,16342,2446,0,0,0,0,0,0,0,0,0,0,0
103,129,4465,15126,-4367,0,0,0,0,0,0,0,0,0,0,0
104,129,3147,17005,1110,0,0,0,0,0,0,0,0,0,0,0
105,129,4971,14673,1349,0,0,0,0,0,0,0,0,0,0,0
106,129,3794,14544,2390,0,0,0,0,0,0,0,0,0,0,0
107,129,-533,14682,2080,0,0,0,0,0,0,0,0,0,0,0
108,129,367,16746,1819,0,0,0,0,0,0,0,0,0,0,0
109,129,650,15942,1735,0,0,0,0,0,0,0,0,0,0,0
110,129,303,16012,2470,0,0,0,0,0,0,0,0,0,0,0
111,129,-6,15461,1140,0,0,0,0,0,0,0,0,0,0,0
112,129,177,16671,3472,0,0,0,0,0,0,0,0,0,0,0
113,129,-20,16510,2084,0,0,0,0,0,0,0,0,0,0,0
114,129,-227,16562,1281,0,0,0,0,0,0,0,0,0,0,0
115,129,-1775,15611,-4276,0,0,0,0,0,0,0,0,0,0,0
116,129,602,17252,3264,0,0,0,0,0,0,0,0,0,0,0
117,129,-1947,17906,-1355,0,0,0,0,0,0,0,0,0,0,0
118,129,698,16446,-885,0,0,0,0,0,0,0,0,0,0,0
119,129,417,16853,968,0,0,0,0,0,0,0,0,0,0,0
120,129,564,17343,643,0,0,0,0,0,0,0,0,0,0,0
121,129,1504,17266,-271,0,0,0,0,0,0,0,0,0,0,0
122,129,1380,16928,-49,0,0,0,0,0,0,0,0,0,0,0
123,129,1316,16771,184,0,0,0,0,0,0,0,0,0,0,0
124,129,821,17115,73,0,0,0,0,0,0,0,0,0,0,0
125,129,670,16609,-594,0,0,0,0,0,0,0,0,0,0,0
126,129,787,16794,-559,0,0,0,0,0,0,0,0,0,0,0
127,129,1014,16537,-768,0,0,0,0,0,0,0,0,0,0,0
128,129,1106,16767,-451,0,0,0,0,0,0,0,0,0,0,0
129,129,1132,16556,383,0,0,0,0,0,0,0,0,0,0,0
130,129,505,16707,980,0,0,0,0,0,0,0,0,0,0,0
131,129,-148,16779,1168,0,0,0,0,0,0,0,0,0,0,0
132,129,2,16588,201,0,0,0,0,0,0,0,0,0,0,0
133,129,-1057,16805,136,0,0,0,0,0,0,0,0,0,0,0
134,129,-1369,16605,314,0,0,0,0,0,0,0,0,0,0,0
135,129,-1017,16178,661,0,0,0,0,0,0,0,0,0,0,0
136,129,-587,16336,862,0,0,0,0,0,0,0,0,0,0,0
