ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,129,-286,2696,16120,0,0,0,0,0,0,0,0,0,0,0
1,129,-294,2614,16136,0,0,0,0,0,0,0,0,0,0,0
2,129,-244,2796,16016,0,0,0,0,0,0,0,0,0,0,0
3,129,-270,2760,15882,0,0,0,0,0,0,0,0,0,0,0
4,129,-286,2608,15982,0,0,0,0,0,0,0,0,0,0,0
5,129,-252,2706,15966,0,0,0,0,0,0,0,0,0,0,0
6,129,-328,2732,15966,0,0,0,0,0,0,0,0,0,0,0
7,129,-242,2722,15886,0,0,0,0,0,0,0,0,0,0,0
8,129,-230,2710,15992,0,0,0,0,0,0,0,0,0,0,0
9,129,-266,2708,15978,0,0,0,0,0,0,0,0,0,0,0
10,129,-372,2648,15990,0,0,0,0,0,0,0,0,0,0,0
11,129,-302,2764,15870,0,0,0,0,0,0,0,0,0,0,0
12,129,-360,2768,16082,0,0,0,0,0,0,0,0,0,0,0
13,129,-276,2682,15880,0,0,0,0,0,0,0,0,0,0,0
14,129,-342,2772,15964,0,0,0,0,0,0,0,0,0,0,0
15,129,-238,2680,15994,0,0,0,0,0,0,0,0,0,0,0
16,129,-294,2670,16136,0,0,0,0,0,0,0,0,0,0,0
17,129,-224,2650,16018,0,0,0,0,0,0,0,0,0,0,0
18,129,-246,2636,16066,0,0,0,0,0,0,0,0,0,0,0
19,129,-290,2654,15976,0,0,0,0,0,0,0,0,0,0,0
20,129,-378,2764,15978,0,0,0,0,0,0,0,0,0,0,0
21,129,-310,2566,16036,0,0,0,0,0,0,0,0,0,0,0
22,129,-324,2728,15900,0,0,0,0,0,0,0,0,0,0,0
23,129,-254,2690,15810,0,0,0,0,0,0,0,0,0,0,0
24,129,-242,2714,15992,0,0,0,0,0,0,0,0,0,0,0
25,129,-328,2718,16070,0,0,0,0,0,0,0,0,0,0,0
26,129,-244,2750,15998,0,0,0,0,0,0,0,0,0,0,0
27,129,-220,2672,16030,0,0,0,0,0,0,0,0,0,0,0
28,129,-330,2746,15980,0,0,0,0,0,0,0,0,0,0,0
29,129,-290,2582,15966,0,0,0,0,0,0,0,0,0,0,0
30,129,-258,2710,16018,0,0,0,0,0,0,0,0,0,0,0
31,129,-296,2606,15834,0,0,0,0,0,0,0,0,0,0,0
32,129,-344,2722,15880,0,0,0,0,0,0,0,0,0,0,0
33,129,-244,2720,15942,0,0,0,0,0,0,0,0,0,0,0
34,129,-288,2606,15988,0,0,0,0,0,0,0,0,0,0,0
35,129,-230,2706,15870,0,0,0,0,0,0,0,0,0,0,0
36,129,-192,2640,15998,0,0,0,0,0,0,0,0,0,0,0
37,129,-234,2710,15914,0,0,0,0,0,0,0,0,0,0,0
38,129,-310,2752,15928,0,0,0,0,0,0,0,0,0,0,0
39,129,-368,2678,15916,0,0,0,0,0,0,0,0,0,0,0
40,129,-360,2608,15990,0,0,0,0,0,0,0,0,0,0,0
41,129,-316,2732,15934,0,0,0,0,0,0,0,0,0,0,0
42,129,-318,2790,15986,0,0,0,0,0,0,0,0,0,0,0
43,129,-308,2716,15962,0,0,0,0,0,0,0,0,0,0,0
44,129,-362,2742,15880,0,0,0,0,0,0,0,0,0,0,0
45,129,-248,2746,15936,0,0,0,0,0,0,0,0,0,0,0
46,129,-214,2720,15908,0,0,0,0,0,0,0,0,0,0,0
47,129,-308,2592,15910,0,0,0,0,0,0,0,0,0,0,0
48,129,-288,2726,15978,0,0,0,0,0,0,0,0,0,0,0
49,129,-278,2718,15986,0,0,0,0,0,0,0,0,0,0,0
50,129,-330,2656,15894,0,0,0,0,0,0,0,0,0,0,0
51,129,-350,2774,15858,0,0,0,0,0,0,0,0,0,0,0
52,129,-316,2618,16036,0,0,0,0,0,0,0,0,0,0,0
53,129,-330,2696,15924,0,0,0,0,0,0,0,0,0,0,0
54,129,-314,2730,15990,0,0,0,0,0,0,0,0,0,0,0
55,129,-230,2768,15922,0,0,0,0,0,0,0,0,0,0,0
56,129,-266,2616,16000,0,0,0,0,0,0,0,0,0,0,0
57,129,-260,2726,15928,0,0,0,0,0,0,0,0,0,0,0
58,129,-218,2690,15978,0,0,0,0,0,0,0,0,0,0,0
59,129,-334,2740,16062,0,0,0,0,0,0,0,0,0,0,0
60,129,-230,2650,16090,0,0,0,0,0,0,0,0,0,0,0
61,129,-318,2670,16028,0,0,0,0,0,0,0,0,0,0,0
62,129,-304,2716,15986,0,0,0,0,0,0,0,0,0,0,0
63,129,-318,2790,15912,0,0,0,0,0,0,0,0,0,0,0
64,129,-334,2668,15998,0,0,0,0,0,0,0,0,0,0,0
65,129,-306,2668,16096,0,0,0,0,0,0,0,0,0,0,0
66,129,-312,2802,15978,0,0,0,0,0,0,0,0,0,0,0
67,129,-368,2688,16052,0,0,0,0,0,0,0,0,0,0,0
68,129,-274,2732,15934,0,0,0,0,0,0,0,0,0,0,0
69,129,-240,2816,15880,0,0,0,0,0,0,0,0,0,0,0
70,129,-324,2684,15984,0,0,0,0,0,0,0,0,0,0,0
71,129,-352,2674,15940,0,0,0,0,0,0,0,0,0,0,0
72,129,-322,2666,15744,0,0,0,0,0,0,0,0,0,0,0
73,129,-282,2628,16048,0,0,0,0,0,0,0,0,0,0,0
74,129,-342,2620,16100,0,0,0,0,0,0,0,0,0,0,0
75,129,-270,2702,16024,0,0,0,0,0,0,0,0,0,0,0
76,129,-270,2696,16026,0,0,0,0,0,0,0,0,0,0,0
77,129,-298,2602,15856,0,0,0,0,0,0,0,0,0,0,0
78,129,-306,2698,16044,0,0,0,0,0,0,0,0,0,0,0
79,129,-320,2632,15948,0,0,0,0,0,0,0,0,0,0,0
80,129,-286,2636,15984,0,0,0,0,0,0,0,0,0,0,0
81,129,-372,2690,15904,0,0,0,0,0,0,0,0,0,0,0
82,129,-272,2694,15938,0,0,0,0,0,0,0,0,0,0,0
83,129,-220,2658,15920,0,0,0,0,0,0,0,0,0,0,0
84,129,-308,2748,15860,0,0,0,0,0,0,0,0,0,0,0
85,129,-226,2736,15944,0,0,0,0,0,0,0,0,0,0,0
86,129,-290,2672,15918,0,0,0,0,0,0,0,0,0,0,0
87,129,-292,2700,15838,0,0,0,0,0,0,0,0,0,0,0
88,129,-330,2776,16120,0,0,0,0,0,0,0,0,0,0,0
89,129,-304,2634,15956,0,0,0,0,0,0,0,0,0,0,0
90,129,-286,2742,15996,0,0,0,0,0,0,0,0,0,0,0
91,129,-306,2656,16010,0,0,0,0,0,0,0,0,0,0,0
92,129,-284,2750,15896,0,0,0,0,0,0,0,0,0,0,0
93,129,-258,2666,16006,0,0,0,0,0,0,0,0,0,0,0
94,129,-224,2774,15966,0,0,0,0,0,0,0,0,0,0,0
95,129,-276,2664,15998,0,0,0,0,0,0,0,0,0,0,0
96,129,-316,2684,15938,0,0,0,0,0,0,0,0,0,0,0
97,129,-326,2730,15904,0,0,0,0,0,0,0,0,0,0,0
98,129,-312,2628,16012,0,0,0,0,0,0,0,0,0,0,0
99,129,-302,2714,15948,0,0,0,0,0,0,0,0,0,0,0
100,129,-280,2758,16042,0,0,0,0,0,0,0,0,0,0,0
101,129,-294,2772,15918,0,0,0,0,0,0,0,0,0,0,0
102,129,-224,2742,15990,0,0,0,0,0,0,0,0,0,0,0
103,129,-336,2684,16010,0,0,0,0,0,0,0,0,0,0,0
104,129,-234,2698,16040,0,0,0,0,0,0,0,0,0,0,0
105,129,-316,2732,15848,0,0,0,0,0,0,0,0,0,0,0
106,129,-236,2774,15892,0,0,0,0,0,0,0,0,0,0,0
107,129,-312,2642,15926,0,0,0,0,0,0,0,0,0,0,0
108,129,-324,2750,16042,0,0,0,0,0,0,0,0,0,0,0
109,129,-298,2690,16008,0,0,0,0,0,0,0,0,0,0,0
110,129,-304,2692,15956,0,0,0,0,0,0,0,0,0,0,0
111,129,-284,2730,15970,0,0,0,0,0,0,0,0,0,0,0
112,129,-240,2712,15836,0,0,0,0,0,0,0,0,0,0,0
113,129,-348,2702,15952,0,0,0,0,0,0,0,0,0,0,0
114,129,-258,2662,15984,0,0,0,0,0,0,0,0,0,0,0
115,129,-240,2692,15926,0,0,0,0,0,0,0,0,0,0,0
116,129,-310,2740,16114,0,0,0,0,0,0,0,0,0,0,0
117,129,-334,2674,15900,0,0,0,0,0,0,0,0,0,0,0
118,129,-372,2758,15978,0,0,0,0,0,0,0,0,0,0,0
119,129,-286,2648,16054,0,0,0,0,0,0,0,0,0,0,0
120,129,-334,2666,15870,0,0,0,0,0,0,0,0,0,0,0
121,129,-320,2778,16002,0,0,0,0,0,0,0,0,0,0,0
122,129,-294,2720,16068,0,0,0,0,0,0,0,0,0,0,0
123,129,-298,2656,15996,0,0,0,0,0,0,0,0,0,0,0
124,129,-302,2792,16152,0,0,0,0,0,0,0,0,0,0,0
125,129,-324,2656,16050,0,0,0,0,0,0,0,0,0,0,0
126,129,-242,2664,15946,0,0,0,0,0,0,0,0,0,0,0
127,129,-418,2738,15844,0,0,0,0,0,0,0,0,0,0,0
128,129,-364,2720,15972,0,0,0,0,0,0,0,0,0,0,0
129,129,-330,2700,15918,0,0,0,0,0,0,0,0,0,0,0
130,129,-250,2800,16066,0,0,0,0,0,0,0,0,0,0,0
131,129,-274,2664,15870,0,0,0,0,0,0,0,0,0,0,0
132,129,-228,2640,15964,0,0,0,0,0,0,0,0,0,0,0
133,129,-264,2762,15972,0,0,0,0,0,0,0,0,0,0,0
134,129,-360,2704,15952,0,0,0,0,0,0,0,0,0,0,0
135,129,-354,2752,15922,0,0,0,0,0,0,0,0,0,0,0
136,129,-310,2770,15944,0,0,0,0,0,0,0,0,0,0,0
137,129,-350,2706,15992,0,0,0,0,0,0,0,0,0,0,0
138,129,-340,2676,15940,0,0,0,0,0,0,0,0,0,0,0
139,129,-328,2690,16044,0,0,0,0,0,0,0,0,0,0,0
140,129,-348,2676,15920,0,0,0,0,0,0,0,0,0,0,0
141,129,-220,2730,15864,0,0,0,0,0,0,0,0,0,0,0
142,129,-236,2778,16060,0,0,0,0,0,0,0,0,0,0,0
143,129,-224,2742,16042,0,0,0,0,0,0,0,0,0,0,0
144,129,-286,2662,16124,0,0,0,0,0,0,0,0,0,0,0
145,129,-310,2766,15998,0,0,0,0,0,0,0,0,0,0,0
146,129,-264,2812,15894,0,0,0,0,0,0,0,0,0,0,0
147,129,-300,2654,15878,0,0,0,0,0,0,0,0,0,0,0
148,129,-272,2700,15912,0,0,0,0,0,0,0,0,0,0,0
149,129,-264,2688,15952,0,0,0,0,0,0,0,0,0,0,0
150,129,-306,2764,16164,0,0,0,0,0,0,0,0,0,0,0
151,129,-260,2732,15834,0,0,0,0,0,0,0,0,0,0,0
152,129,-216,2708,15886,0,0,0,0,0,0,0,0,0,0,0
153,129,-240,2602,15956,0,0,0,0,0,0,0,0,0,0,0
154,129,-266,2670,15948,0,0,0,0,0,0,0,0,0,0,0
155,129,-280,2766,16010,0,0,0,0,0,0,0,0,0,0,0
156,129,-342,2634,15976,0,0,0,0,0,0,0,0,0,0,0
157,129,-348,2736,15956,0,0,0,0,0,0,0,0,0,0,0
158,129,-216,2806,16032,0,0,0,0,0,0,0,0,0,0,0
159,129,-198,2666,16004,0,0,0,0,0,0,0,0,0,0,0
160,129,-290,2706,15992,0,0,0,0,0,0,0,0,0,0,0
161,129,-332,2672,15944,0,0,0,0,0,0,0,0,0,0,0
162,129,-330,2678,16020,0,0,0,0,0,0,0,0,0,0,0
163,129,-376,2778,16008,0,0,0,0,0,0,0,0,0,0,0
164,129,-320,2844,16014,0,0,0,0,0,0,0,0,0,0,0
165,129,-340,2664,16054,0,0,0,0,0,0,0,0,0,0,0
166,129,-306,2732,16010,0,0,0,0,0,0,0,0,0,0,0
167,129,-298,2698,15980,0,0,0,0,0,0,0,0,0,0,0
168,129,-402,2668,15876,0,0,0,0,0,0,0,0,0,0,0
169,129,-356,2728,15864,0,0,0,0,0,0,0,0,0,0,0
170,129,-266,2766,15994,0,0,0,0,0,0,0,0,0,0,0
171,129,-262,2546,15998,0,0,0,0,0,0,0,0,0,0,0
172,129,-264,2698,16150,0,0,0,0,0,0,0,0,0,0,0
173,129,-320,2740,16076,0,0,0,0,0,0,0,0,0,0,0
174,129,-318,2654,15868,0,0,0,0,0,0,0,0,0,0,0
175,129,-262,2644,15972,0,0,0,0,0,0,0,0,0,0,0
176,129,-250,2762,16028,0,0,0,0,0,0,0,0,0,0,0
177,129,-296,2682,15982,0,0,0,0,0,0,0,0,0,0,0
178,129,-330,2686,16004,0,0,0,0,0,0,0,0,0,0,0
179,129,-336,2732,15886,0,0,0,0,0,0,0,0,0,0,0
180,129,-272,2628,15904,0,0,0,0,0,0,0,0,0,0,0
181,129,-236,2686,15988,0,0,0,0,0,0,0,0,0,0,0
182,129,-304,2796,15904,0,0,0,0,0,0,0,0,0,0,0
183,129,-362,2630,15926,0,0,0,0,0,0,0,0,0,0,0
184,129,-274,2694,15964,0,0,0,0,0,0,0,0,0,0,0
185,129,-348,2744,15908,0,0,0,0,0,0,0,0,0,0,0
186,129,-256,2636,15866,0,0,0,0,0,0,0,0,0,0,0
187,129,-304,2700,15892,0,0,0,0,0,0,0,0,0,0,0
188,129,-312,2750,16028,0,0,0,0,0,0,0,0,0,0,0
189,129,-346,2632,15948,0,0,0,0,0,0,0,0,0,0,0
190,129,-334,2642,15950,0,0,0,0,0,0,0,0,0,0,0
191,129,-318,2788,15950,0,0,0,0,0,0,0,0,0,0,0
192,129,-346,2682,15928,0,0,0,0,0,0,0,0,0,0,0
193,129,-242,2676,15952,0,0,0,0,0,0,0,0,0,0,0
194,129,-336,2712,15938,0,0,0,0,0,0,0,0,0,0,0
195,129,-266,2748,15994,0,0,0,0,0,0,0,0,0,0,0
196,129,-300,2784,16066,0,0,0,0,0,0,0,0,0,0,0
197,129,-352,2774,15886,0,0,0,0,0,0,0,0,0,0,0
198,129,-264,2660,15948,0,0,0,0,0,0,0,0,0,0,0
199,129,-270,2646,16024,0,0,0,0,0,0,0,0,0,0,0
200,129,-260,2774,16054,0,0,0,0,0,0,0,0,0,0,0
201,129,-178,2714,15940,0,0,0,0,0,0,0,0,0,0,0
202,129,-276,2672,15992,0,0,0,0,0,0,0,0,0,0,0
203,129,-316,2818,16016,0,0,0,0,0,0,0,0,0,0,0
204,129,-270,2758,15906,0,0,0,0,0,0,0,0,0,0,0
205,129,-272,2686,15830,0,0,0,0,0,0,0,0,0,0,0
206,129,-322,2692,15984,0,0,0,0,0,0,0,0,0,0,0
207,129,-314,2702,15982,0,0,0,0,0,0,0,0,0,0,0
208,129,-272,2706,15864,0,0,0,0,0,0,0,0,0,0,0
209,129,-272,2716,16012,0,0,0,0,0,0,0,0,0,0,0
210,129,-270,2724,15980,0,0,0,0,0,0,0,0,0,0,0
211,129,-342,2690,16012,0,0,0,0,0,0,0,0,0,0,0
212,129,-236,2770,16078,0,0,0,0,0,0,0,0,0,0,0
213,129,-224,2726,16052,0,0,0,0,0,0,0,0,0,0,0
214,129,-254,2656,15922,0,0,0,0,0,0,0,0,0,0,0
215,129,-268,2626,15932,0,0,0,0,0,0,0,0,0,0,0
216,129,-322,2786,15932,0,0,0,0,0,0,0,0,0,0,0
217,129,-230,2716,15948,0,0,0,0,0,0,0,0,0,0,0
218,129,-368,2740,15930,0,0,0,0,0,0,0,0,0,0,0
219,129,-248,2730,15910,0,0,0,0,0,0,0,0,0,0,0
220,129,-276,2666,16010,0,0,0,0,0,0,0,0,0,0,0
221,129,-322,2698,15920,0,0,0,0,0,0,0,0,0,0,0
222,129,-310,2736,16110,0,0,0,0,0,0,0,0,0,0,0
223,129,-368,2618,16082,0,0,0,0,0,0,0,0,0,0,0
224,129,-230,2716,15890,0,0,0,0,0,0,0,0,0,0,0
225,129,-218,2722,15916,0,0,0,0,0,0,0,0,0,0,0
226,129,-290,2704,15970,0,0,0,0,0,0,0,0,0,0,0
227,129,-234,2712,15938,0,0,0,0,0,0,0,0,0,0,0
228,129,-262,2746,16040,0,0,0,0,0,0,0,0,0,0,0
229,129,-270,2726,15798,0,0,0,0,0,0,0,0,0,0,0
230,129,-300,2730,16000,0,0,0,0,0,0,0,0,0,0,0
231,129,-306,2742,16056,0,0,0,0,0,0,0,0,0,0,0
232,129,-278,2558,16066,0,0,0,0,0,0,0,0,0,0,0
233,129,-332,2700,15894,0,0,0,0,0,0,0,0,0,0,0
234,129,-228,2710,15904,0,0,0,0,0,0,0,0,0,0,0
235,129,-308,2796,15790,0,0,0,0,0,0,0,0,0,0,0
236,129,-290,2714,15952,0,0,0,0,0,0,0,0,0,0,0
237,129,-278,2742,15962,0,0,0,0,0,0,0,0,0,0,0
238,129,-298,2734,16010,0,0,0,0,0,0,0,0,0,0,0
239,129,-268,2778,15958,0,0,0,0,0,0,0,0,0,0,0
240,129,-240,2706,16098,0,0,0,0,0,0,0,0,0,0,0
241,129,-250,2706,16036,0,0,0,0,0,0,0,0,0,0,0
242,129,-296,2708,16122,0,0,0,0,0,0,0,0,0,0,0
243,129,-226,2776,15822,0,0,0,0,0,0,0,0,0,0,0
244,129,-276,2728,16002,0,0,0,0,0,0,0,0,0,0,0
245,129,-336,2700,15850,0,0,0,0,0,0,0,0,0,0,0
246,129,-240,2708,16060,0,0,0,0,0,0,0,0,0,0,0
247,129,-302,2736,15994,0,0,0,0,0,0,0,0,0,0,0
248,129,-332,2716,15892,0,0,0,0,0,0,0,0,0,0,0
249,129,-368,2640,15866,0,0,0,0,0,0,0,0,0,0,0
250,129,-246,2754,16008,0,0,0,0,0,0,0,0,0,0,0
251,129,-260,2654,15938,0,0,0,0,0,0,0,0,0,0,0
252,129,-226,2746,15966,0,0,0,0,0,0,0,0,0,0,0
253,129,-322,2702,16030,0,0,0,0,0,0,0,0,0,0,0
254,129,-284,2712,15960,0,0,0,0,0,0,0,0,0,0,0
255,129,-392,2694,15936,0,0,0,0,0,0,0,0,0,0,0
256,129,-268,2724,15930,0,0,0,0,0,0,0,0,0,0,0
257,129,-308,2690,16074,0,0,0,0,0,0,0,0,0,0,0
258,129,-334,2722,15924,0,0,0,0,0,0,0,0,0,0,0
259,129,-278,2792,15976,0,0,0,0,0,0,0,0,0,0,0
260,129,-336,2680,16026,0,0,0,0,0,0,0,0,0,0,0
261,129,-300,2670,15932,0,0,0,0,0,0,0,0,0,0,0
262,129,-256,2704,15998,0,0,0,0,0,0,0,0,0,0,0
263,129,-228,2744,15794,0,0,0,0,0,0,0,0,0,0,0
264,129,-302,2712,16082,0,0,0,0,0,0,0,0,0,0,0
265,129,-242,2684,15798,0,0,0,0,0,0,0,0,0,0,0
266,129,-330,2706,15960,0,0,0,0,0,0,0,0,0,0,0
267,129,-320,2808,15858,0,0,0,0,0,0,0,0,0,0,0
268,129,-314,2704,15938,0,0,0,0,0,0,0,0,0,0,0
269,129,-272,2668,15974,0,0,0,0,0,0,0,0,0,0,0
270,129,-280,2688,15990,0,0,0,0,0,0,0,0,0,0,0
271,129,-306,2718,16010,0,0,0,0,0,0,0,0,0,0,0
272,129,-348,2620,15938,0,0,0,0,0,0,0,0,0,0,0
273,129,-308,2704,15894,0,0,0,0,0,0,0,0,0,0,0
274,129,-270,2818,16028,0,0,0,0,0,0,0,0,0,0,0
275,129,-268,2692,15974,0,0,0,0,0,0,0,0,0,0,0
276,129,-324,2710,15954,0,0,0,0,0,0,0,0,0,0,0
277,129,-222,2724,15972,0,0,0,0,0,0,0,0,0,0,0
278,129,-284,2750,16056,0,0,0,0,0,0,0,0,0,0,0
279,129,-214,2750,15912,0,0,0,0,0,0,0,0,0,0,0
280,129,-288,2732,16102,0,0,0,0,0,0,0,0,0,0,0
281,129,-298,2674,15862,0,0,0,0,0,0,0,0,0,0,0
282,129,-388,2740,15968,0,0,0,0,0,0,0,0,0,0,0
283,129,-324,2690,15834,0,0,0,0,0,0,0,0,0,0,0
284,129,-276,2646,15986,0,0,0,0,0,0,0,0,0,0,0
285,129,-274,2684,16116,0,0,0,0,0,0,0,0,0,0,0
286,129,-228,2620,15918,0,0,0,0,0,0,0,0,0,0,0
287,129,-266,2676,15978,0,0,0,0,0,0,0,0,0,0,0
288,129,-332,2710,16044,0,0,0,0,0,0,0,0,0,0,0
289,129,-288,2808,15920,0,0,0,0,0,0,0,0,0,0,0
290,129,-308,2726,15962,0,0,0,0,0,0,0,0,0,0,0
291,129,-292,2658,16026,0,0,0,0,0,0,0,0,0,0,0
292,129,-314,2816,16020,0,0,0,0,0,0,0,0,0,0,0
293,129,-238,2628,15924,0,0,0,0,0,0,0,0,0,0,0
294,129,-320,2760,15946,0,0,0,0,0,0,0,0,0,0,0
295,129,-254,2708,16012,0,0,0,0,0,0,0,0,0,0,0
296,129,-268,2686,16056,0,0,0,0,0,0,0,0,0,0,0
297,129,-288,2672,15978,0,0,0,0,0,0,0,0,0,0,0
298,129,-258,2718,15966,0,0,0,0,0,0,0,0,0,0,0
299,129,-296,2754,15922,0,0,0,0,0,0,0,0,0,0,0
300,129,-284,2648,16046,0,0,0,0,0,0,0,0,0,0,0
301,129,-370,2706,16016,0,0,0,0,0,0,0,0,0,0,0
302,129,-310,2720,16118,0,0,0,0,0,0,0,0,0,0,0
303,129,-286,2666,15904,0,0,0,0,0,0,0,0,0,0,0
304,129,-248,2748,15902,0,0,0,0,0,0,0,0,0,0,0
305,129,-300,2740,15902,0,0,0,0,0,0,0,0,0,0,0
306,129,-302,2672,15932,0,0,0,0,0,0,0,0,0,0,0
307,129,-302,2676,15782,0,0,0,0,0,0,0,0,0,0,0
308,129,-266,2766,15952,0,0,0,0,0,0,0,0,0,0,0
309,129,-288,2658,15978,0,0,0,0,0,0,0,0,0,0,0
310,129,-284,2754,15904,0,0,0,0,0,0,0,0,0,0,0
311,129,-258,2684,15942,0,0,0,0,0,0,0,0,0,0,0
312,129,-284,2698,16042,0,0,0,0,0,0,0,0,0,0,0
313,129,-282,2708,15952,0,0,0,0,0,0,0,0,0,0,0
314,129,-316,2700,15934,0,0,0,0,0,0,0,0,0,0,0
315,129,-230,2700,15904,0,0,0,0,0,0,0,0,0,0,0
316,129,-304,2768,15966,0,0,0,0,0,0,0,0,0,0,0
317,129,-274,2716,15970,0,0,0,0,0,0,0,0,0,0,0
318,129,-310,2646,15992,0,0,0,0,0,0,0,0,0,0,0
319,129,-336,2718,15896,0,0,0,0,0,0,0,0,0,0,0
320,129,-302,2730,15852,0,0,0,0,0,0,0,0,0,0,0
321,129,-292,2674,15960,0,0,0,0,0,0,0,0,0,0,0
322,129,-380,2688,15994,0,0,0,0,0,0,0,0,0,0,0
323,129,-318,2838,15972,0,0,0,0,0,0,0,0,0,0,0
324,129,-294,2700,15912,0,0,0,0,0,0,0,0,0,0,0
325,129,-310,2696,15894,0,0,0,0,0,0,0,0,0,0,0
326,129,-262,2718,16042,0,0,0,0,0,0,0,0,0,0,0
327,129,-284,2636,15904,0,0,0,0,0,0,0,0,0,0,0
328,129,-346,2716,15982,0,0,0,0,0,0,0,0,0,0,0
329,129,-316,2696,16018,0,0,0,0,0,0,0,0,0,0,0
330,129,-334,2634,15990,0,0,0,0,0,0,0,0,0,0,0
331,129,-354,2734,15998,0,0,0,0,0,0,0,0,0,0,0
332,129,-316,2736,16016,0,0,0,0,0,0,0,0,0,0,0
333,129,-330,2736,15918,0,0,0,0,0,0,0,0,0,0,0
334,129,-272,2758,16068,0,0,0,0,0,0,0,0,0,0,0
335,129,-286,2800,15986,0,0,0,0,0,0,0,0,0,0,0
336,129,-268,2704,15932,0,0,0,0,0,0,0,0,0,0,0
337,129,-340,2748,15956,0,0,0,0,0,0,0,0,0,0,0
338,129,-336,2684,15844,0,0,0,0,0,0,0,0,0,0,0
339,129,-340,2736,15890,0,0,0,0,0,0,0,0,0,0,0
340,129,-362,2634,15854,0,0,0,0,0,0,0,0,0,0,0
341,129,-248,2730,15956,0,0,0,0,0,0,0,0,0,0,0
342,129,-352,2684,16016,0,0,0,0,0,0,0,0,0,0,0
343,129,-274,2628,15896,0,0,0,0,0,0,0,0,0,0,0
344,129,-322,2740,16076,0,0,0,0,0,0,0,0,0,0,0
345,129,-304,2714,16010,0,0,0,0,0,0,0,0,0,0,0
346,129,-302,2636,15926,0,0,0,0,0,0,0,0,0,0,0
347,129,-378,2786,16018,0,0,0,0,0,0,0,0,0,0,0
