ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,129,-1144,16280,3112,0,0,0,0,0,0,0,0,0,0,0
1,129,-1228,16370,3120,0,0,0,0,0,0,0,0,0,0,0
2,129,-1206,16336,2978,0,0,0,0,0,0,0,0,0,0,0
3,129,-1140,16292,3068,0,0,0,0,0,0,0,0,0,0,0
4,129,-1116,16322,2974,0,0,0,0,0,0,0,0,0,0,0
5,129,-1168,16348,3128,0,0,0,0,0,0,0,0,0,0,0
6,129,-1134,16280,3080,0,0,0,0,0,0,0,0,0,0,0
7,129,-1196,16390,3052,0,0,0,0,0,0,0,0,0,0,0
8,129,-1156,16326,3032,0,0,0,0,0,0,0,0,0,0,0
9,129,-1274,16310,3046,0,0,0,0,0,0,0,0,0,0,0
10,129,-1222,16356,3048,0,0,0,0,0,0,0,0,0,0,0
11,129,-1208,16340,2982,0,0,0,0,0,0,0,0,0,0,0
12,129,-1224,16386,3148,0,0,0,0,0,0,0,0,0,0,0
13,129,-1154,16296,3064,0,0,0,0,0,0,0,0,0,0,0
14,129,-1234,16240,2864,0,0,0,0,0,0,0,0,0,0,0
15,129,-1182,16384,2934,0,0,0,0,0,0,0,0,0,0,0
16,129,-1174,16332,3036,0,0,0,0,0,0,0,0,0,0,0
17,129,-1260,16286,3078,0,0,0,0,0,0,0,0,0,0,0
18,129,-1178,16404,3108,0,0,0,0,0,0,0,0,0,0,0
19,129,-1148,16404,3090,0,0,0,0,0,0,0,0,0,0,0
20,129,-1138,16346,3120,0,0,0,0,0,0,0,0,0,0,0
21,129,-1210,16484,3022,0,0,0,0,0,0,0,0,0,0,0
22,129,-1194,16446,3054,0,0,0,0,0,0,0,0,0,0,0
23,129,-1226,16332,3114,0,0,0,0,0,0,0,0,0,0,0
24,129,-1180,16422,3154,0,0,0,0,0,0,0,0,0,0,0
25,129,-1202,16378,3254,0,0,0,0,0,0,0,0,0,0,0
26,129,-1226,16352,3054,0,0,0,0,0,0,0,0,0,0,0
27,129,-1216,16324,3154,0,0,0,0,0,0,0,0,0,0,0
28,129,-1152,16386,3072,0,0,0,0,0,0,0,0,0,0,0
29,129,-1272,16306,3074,0,0,0,0,0,0,0,0,0,0,0
30,129,-1286,16418,3082,0,0,0,0,0,0,0,0,0,0,0
31,129,-1178,16238,3198,0,0,0,0,0,0,0,0,0,0,0
32,129,-1250,16330,3066,0,0,0,0,0,0,0,0,0,0,0
33,129,-1262,16416,3000,0,0,0,0,0,0,0,0,0,0,0
34,129,-1222,16366,2996,0,0,0,0,0,0,0,0,0,0,0
35,129,-1206,16280,3144,0,0,0,0,0,0,0,0,0,0,0
36,129,-1172,16428,3030,0,0,0,0,0,0,0,0,0,0,0
37,129,-1170,16232,3030,0,0,0,0,0,0,0,0,0,0,0
38,129,-1226,16328,3052,0,0,0,0,0,0,0,0,0,0,0
39,129,-1190,16368,3174,0,0,0,0,0,0,0,0,0,0,0
40,129,-1150,16286,3074,0,0,0,0,0,0,0,0,0,0,0
41,129,-1246,16368,3036,0,0,0,0,0,0,0,0,0,0,0
42,129,-1172,16300,2988,0,0,0,0,0,0,0,0,0,0,0
43,129,-1148,16336,2950,0,0,0,0,0,0,0,0,0,0,0
44,129,-1266,16318,3104,0,0,0,0,0,0,0,0,0,0,0
45,129,-1156,16394,3108,0,0,0,0,0,0,0,0,0,0,0
46,129,-1190,16472,2966,0,0,0,0,0,0,0,0,0,0,0
47,129,-1190,16312,3140,0,0,0,0,0,0,0,0,0,0,0
48,129,-1160,16334,3072,0,0,0,0,0,0,0,0,0,0,0
49,129,-1144,16326,3044,0,0,0,0,0,0,0,0,0,0,0
50,129,-1204,16352,3010,0,0,0,0,0,0,0,0,0,0,0
51,129,-1258,16484,3118,0,0,0,0,0,0,0,0,0,0,0
52,129,-1146,16338,3008,0,0,0,0,0,0,0,0,0,0,0
53,129,-1144,16248,3200,0,0,0,0,0,0,0,0,0,0,0
54,129,-1168,16392,3096,0,0,0,0,0,0,0,0,0,0,0
55,129,-1240,16334,3028,0,0,0,0,0,0,0,0,0,0,0
56,129,-1170,16316,3140,0,0,0,0,0,0,0,0,0,0,0
57,129,-1202,16296,3066,0,0,0,0,0,0,0,0,0,0,0
58,129,-1162,16308,3124,0,0,0,0,0,0,0,0,0,0,0
59,129,-1212,16280,3042,0,0,0,0,0,0,0,0,0,0,0
60,129,-1168,16346,3028,0,0,0,0,0,0,0,0,0,0,0
61,129,-1162,16370,2990,0,0,0,0,0,0,0,0,0,0,0
62,129,-1130,16352,3088,0,0,0,0,0,0,0,0,0,0,0
63,129,-1154,16356,3132,0,0,0,0,0,0,0,0,0,0,0
