ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,129,12732,10568,202,0,0,0,0,0,0,0,0,0,0,0
1,129,12798,10510,278,0,0,0,0,0,0,0,0,0,0,0
2,129,12828,10540,348,0,0,0,0,0,0,0,0,0,0,0
3,129,12758,10524,350,0,0,0,0,0,0,0,0,0,0,0
4,129,12806,10548,402,0,0,0,0,0,0,0,0,0,0,0
5,129,12844,10512,308,0,0,0,0,0,0,0,0,0,0,0
6,129,12852,10424,276,0,0,0,0,0,0,0,0,0,0,0
7,129,12828,10560,290,0,0,0,0,0,0,0,0,0,0,0
8,129,12780,10590,374,0,0,0,0,0,0,0,0,0,0,0
9,129,12794,10460,222,0,0,0,0,0,0,0,0,0,0,0
10,129,12816,10556,146,0,0,0,0,0,0,0,0,0,0,0
11,129,12914,10552,316,0,0,0,0,0,0,0,0,0,0,0
12,129,12722,10446,344,0,0,0,0,0,0,0,0,0,0,0
13,129,12888,10466,290,0,0,0,0,0,0,0,0,0,0,0
14,129,12940,10562,236,0,0,0,0,0,0,0,0,0,0,0
15,129,12936,10508,352,0,0,0,0,0,0,0,0,0,0,0
16,129,12750,10534,94,0,0,0,0,0,0,0,0,0,0,0
17,129,12796,10494,394,0,0,0,0,0,0,0,0,0,0,0
18,129,12776,10512,282,0,0,0,0,0,0,0,0,0,0,0
19,129,12756,10672,282,0,0,0,0,0,0,0,0,0,0,0
20,129,12880,10468,192,0,0,0,0,0,0,0,0,0,0,0
21,129,12814,10512,282,0,0,0,0,0,0,0,0,0,0,0
22,129,12836,10522,232,0,0,0,0,0,0,0,0,0,0,0
23,129,12724,10490,230,0,0,0,0,0,0,0,0,0,0,0
24,129,12780,10610,348,0,0,0,0,0,0,0,0,0,0,0
25,129,12830,10536,260,0,0,0,0,0,0,0,0,0,0,0
26,129,12780,10448,214,0,0,0,0,0,0,0,0,0,0,0
27,129,12774,10550,170,0,0,0,0,0,0,0,0,0,0,0
